cdf,model_execution_e2e,replica
0.0,7.463444236137893,0
0.01,7.463444236137893,0
0.02,7.463444236137893,0
0.03,7.463444236137893,0
0.04,7.614220887373002,0
0.05,7.614220887373002,0
0.06,7.614220887373002,0
0.07,7.614220887373002,0
0.08,7.614220887373002,0
0.09,7.614220887373002,0
0.1,7.614220887373002,0
0.11,7.768043531562354,0
0.12,7.768043531562354,0
0.13,7.768043531562354,0
0.14,7.768043531562354,0
0.15,7.768043531562354,0
0.16,7.768043531562354,0
0.17,7.768043531562354,0
0.18,7.768043531562354,0
0.19,7.768043531562354,0
0.2,7.768043531562354,0
0.21,7.768043531562354,0
0.22,7.768043531562354,0
0.23,7.768043531562354,0
0.24,7.768043531562354,0
0.25,7.768043531562354,0
0.26,7.768043531562354,0
0.27,7.768043531562354,0
0.28,7.768043531562354,0
0.29,7.768043531562354,0
0.3,7.768043531562354,0
0.31,7.768043531562354,0
0.32,7.768043531562354,0
0.33,7.924973703917148,0
0.34,7.924973703917148,0
0.35000000000000003,7.924973703917148,0
0.36,7.924973703917148,0
0.37,7.924973703917148,0
0.38,8.085074182784162,0
0.39,8.085074182784162,0
0.4,8.085074182784162,0
0.41000000000000003,8.2484090147596,0
0.42,8.2484090147596,0
0.43,8.2484090147596,0
0.44,8.415043540310299,0
0.45,8.585044419912528,0
0.46,8.585044419912528,0
0.47000000000000003,8.585044419912528,0
0.48,8.585044419912528,0
0.49,8.585044419912528,0
0.5,8.585044419912528,0
0.51,8.585044419912528,0
0.52,8.758479660718843,0
0.53,8.758479660718843,0
0.54,8.935418643763667,0
0.55,8.935418643763667,0
0.56,8.935418643763667,0
0.5700000000000001,8.935418643763667,0
0.58,8.935418643763667,0
0.59,8.935418643763667,0
0.6,8.935418643763667,0
0.61,8.935418643763667,0
0.62,8.935418643763667,0
0.63,8.935418643763667,0
0.64,8.935418643763667,0
0.65,8.935418643763667,0
0.66,8.935418643763667,0
0.67,8.935418643763667,0
0.68,8.935418643763667,0
0.6900000000000001,8.935418643763667,0
0.7000000000000001,8.935418643763667,0
0.71,8.935418643763667,0
0.72,8.935418643763667,0
0.73,8.935418643763667,0
0.74,8.935418643763667,0
0.75,8.935418643763667,0
0.76,8.935418643763667,0
0.77,22.875222481777087,0
0.78,23.808809768044906,0
0.79,24.289795823965004,0
0.8,24.78049876990369,0
0.81,25.281114906669426,0
0.8200000000000001,25.791844500743554,0
0.8300000000000001,26.312891864394942,0
0.84,26.84446543741302,0
0.85,27.386777870492075,0
0.86,27.940046110299996,0
0.87,28.504491486265653,0
0.88,29.080339799119507,0
0.89,29.66782141122293,0
0.9,30.267171338722385,0
0.91,30.878629345565244,0
0.92,31.50244003941505,0
0.93,32.13885296950424,0
0.9400000000000001,32.788122726463925,0
0.9500000000000001,34.12627690364846,0
0.96,35.51904404592572,0
0.97,36.96865302647569,0
0.98,38.47742368361173,0
0.99,41.682206632979195,0
1.0,45.15391581516847,0
0.0,7.768043531562354,1
0.01,7.768043531562354,1
0.02,7.768043531562354,1
0.03,7.768043531562354,1
0.04,7.768043531562354,1
0.05,7.768043531562354,1
0.06,7.768043531562354,1
0.07,7.768043531562354,1
0.08,7.768043531562354,1
0.09,8.085074182784162,1
0.1,8.085074182784162,1
0.11,8.085074182784162,1
0.12,8.085074182784162,1
0.13,8.2484090147596,1
0.14,9.679649274963399,1
0.15,9.679649274963399,1
0.16,9.679649274963399,1
0.17,9.679649274963399,1
0.18,9.679649274963399,1
0.19,9.679649274963399,1
0.2,9.679649274963399,1
0.21,9.679649274963399,1
0.22,9.679649274963399,1
0.23,9.679649274963399,1
0.24,9.679649274963399,1
0.25,9.679649274963399,1
0.26,9.679649274963399,1
0.27,9.87519774516468,1
0.28,9.87519774516468,1
0.29,9.87519774516468,1
0.3,9.87519774516468,1
0.31,9.87519774516468,1
0.32,9.87519774516468,1
0.33,9.87519774516468,1
0.34,9.87519774516468,1
0.35000000000000003,9.87519774516468,1
0.36,9.87519774516468,1
0.37,9.87519774516468,1
0.38,9.87519774516468,1
0.39,9.87519774516468,1
0.4,9.87519774516468,1
0.41000000000000003,9.87519774516468,1
0.42,10.074696689511441,1
0.43,10.074696689511441,1
0.44,10.074696689511441,1
0.45,10.074696689511441,1
0.46,10.074696689511441,1
0.47000000000000003,10.074696689511441,1
0.48,10.074696689511441,1
0.49,10.074696689511441,1
0.5,10.074696689511441,1
0.51,10.074696689511441,1
0.52,10.074696689511441,1
0.53,10.074696689511441,1
0.54,22.875222481777087,1
0.55,24.289795823965004,1
0.56,25.281114906669426,1
0.5700000000000001,25.281114906669426,1
0.58,25.791844500743554,1
0.59,26.312891864394942,1
0.6,26.84446543741302,1
0.61,26.84446543741302,1
0.62,27.386777870492075,1
0.63,27.940046110299996,1
0.64,28.504491486265653,1
0.65,29.080339799119507,1
0.66,29.080339799119507,1
0.67,29.66782141122293,1
0.68,30.267171338722385,1
0.6900000000000001,30.878629345565244,1
0.7000000000000001,31.50244003941505,1
0.71,31.50244003941505,1
0.72,32.13885296950424,1
0.73,32.788122726463925,1
0.74,33.45050904417027,1
0.75,34.12627690364846,1
0.76,34.8156966390757,1
0.77,35.51904404592572,1
0.78,36.96865302647569,1
0.79,38.47742368361173,1
0.8,39.254745374189746,1
0.81,40.85681640262316,1
0.8200000000000001,41.682206632979195,1
0.8300000000000001,43.38334760361396,1
0.84,45.15391581516847,1
