prefill_tokens,prefill_time_seconds
512,0.02114359945138969
1024,0.042627496630779374
1536,0.06460955137816907
2048,0.08703539953355875
2560,0.10994011104894842
3072,0.13335679184433813
3584,0.1571968044797278
4096,0.18159151791511746
4608,0.20644921451850717
5120,0.23170086440189686
5632,0.25745749783728655
6144,0.2836565689046762
6656,0.31017584067606596
7168,0.33721693465545566
7680,0.36464140809084533
8192,0.39238153362223505
8704,0.4206268475056247
9216,0.44919722199701434
9728,0.478125470152404
10240,0.5075060211557936
