cdf,request_e2e_time
0.0,0.4229649074405595
0.01,4.555427369770524
0.02,6.1766370263533545
0.03,8.120128943168549
0.04,8.84684171219498
0.05,14.162038192803903
0.06,17.29219744525925
0.07,17.517943992690682
0.08,18.43184584895256
0.09,19.19519557922669
0.1,20.056084290243515
0.11,20.930458169866558
0.12,21.801652971716997
0.13,23.55868674081672
0.14,24.31736571579303
0.15,24.768425862671833
0.16,26.131671932801527
0.17,26.306494629361058
0.18,26.59184447281049
0.19,26.820942622621907
0.2,27.17002344547373
0.21,27.469877182535463
0.22,27.838584473580127
0.23,28.029371053482013
0.24,28.280003115909462
0.25,28.452608573141596
0.26,28.569978915412175
0.27,29.233334420120137
0.28,30.06926411923403
0.29,30.605545039901386
0.3,30.73001347136781
0.31,31.304639329197542
0.32,31.36788642981908
0.33,31.696105152202097
0.34,32.43146676078527
0.35000000000000003,33.81588667901282
0.36,34.3179435980884
0.37,34.85288969939827
0.38,35.66103351244197
0.39,36.86077311088548
0.4,37.97139673173834
0.41000000000000003,38.152696156077766
0.42,38.74766272604355
0.43,39.05647452235576
0.44,39.31307106074805
0.45,39.60861103635412
0.46,39.947563042506744
0.47000000000000003,40.6948351090339
0.48,40.843316308981976
0.49,41.279868055739506
0.5,42.20926460315629
0.51,42.797458111412425
0.52,43.110316655423496
0.53,43.831093177182474
0.54,44.81796369207398
0.55,45.38828421766532
0.56,45.47613944941029
0.5700000000000001,45.69541173656652
0.58,45.95985746067944
0.59,46.10850602157303
0.6,46.33087175626943
0.61,47.62867180502607
0.62,50.066845452314915
0.63,53.561632476265466
0.64,54.121641914709755
0.65,55.435384850418686
0.66,56.39035253672867
0.67,59.341250855444514
0.68,63.48263905812448
0.6900000000000001,64.23087537838452
0.7000000000000001,66.91717245861473
0.71,67.78417441636236
0.72,72.95193731756908
0.73,77.85865803129859
0.74,78.97181017440923
0.75,80.94628337765049
0.76,84.48175604312743
0.77,87.20925701822
0.78,89.10816384733016
0.79,91.6338273157608
0.8,91.7785814158957
0.81,92.7866643219751
0.8200000000000001,93.01221976222554
0.8300000000000001,93.587426272301
0.84,94.55166604022853
0.85,95.63238421249699
0.86,96.67229240553895
0.87,99.28761386786124
0.88,100.20631383558315
0.89,101.59588660365974
0.9,102.6365721624385
0.91,102.86576421674259
0.92,102.99490493859237
0.93,103.08886649597376
0.9400000000000001,103.23619971285751
0.9500000000000001,103.46918993471974
0.96,103.77822567342919
0.97,104.0700039595494
0.98,104.50975423644236
0.99,104.6796843193841
1.0,105.77175906025923
