Time (sec),Memory Usage (%),replica
1.879890811339277,3.0488612288135597,1
1.879890811339277,3.0488612288135597,1
1.8876073787664667,3.0488612288135597,1
1.8876073787664667,3.0488612288135597,1
1.8953239461936564,3.0488612288135597,1
1.8953239461936564,3.0488612288135597,1
1.9030405136208461,3.0488612288135597,1
1.9030405136208461,3.0488612288135597,1
1.9107570810480359,3.0488612288135597,1
1.9107570810480359,3.0488612288135597,1
1.9184736484752256,3.0488612288135597,1
1.9184736484752256,3.06541313559322,1
1.9261902159024153,3.06541313559322,1
1.9261902159024153,3.06541313559322,1
1.933906783329605,3.06541313559322,1
1.933906783329605,3.06541313559322,1
1.9416233507567948,3.06541313559322,1
1.9416233507567948,3.06541313559322,1
1.9493399181839846,3.06541313559322,1
1.9493399181839846,3.06541313559322,1
1.9570564856111743,3.06541313559322,1
1.9570564856111743,3.06541313559322,1
1.964773053038364,3.06541313559322,1
1.964773053038364,3.06541313559322,1
1.9724896204655538,3.06541313559322,1
1.9724896204655538,3.06541313559322,1
1.9802061878927435,3.06541313559322,1
1.9802061878927435,3.06541313559322,1
1.9879227553199332,3.06541313559322,1
1.9879227553199332,3.06541313559322,1
1.995639322747123,3.06541313559322,1
1.995639322747123,3.0819650423728806,1
2.003355890174313,3.0819650423728806,1
2.003355890174313,3.0819650423728806,1
2.0104956750793237,3.0819650423728806,1
2.011072457601503,3.0819650423728806,1
2.011072457601503,3.2011387711864403,1
2.0338953535648927,3.2011387711864403,1
2.0338953535648927,3.307070974576276,1
2.0572164070962824,3.307070974576276,1
2.0572164070962824,3.4130031779661008,1
2.080981254035672,3.4130031779661008,1
2.080981254035672,3.5189353813559365,1
2.105224964335062,3.5189353813559365,1
2.105224964335062,3.624867584745761,1
2.1299806439144513,3.624867584745761,1
2.1299806439144513,3.730799788135597,1
2.155159655333841,3.730799788135597,1
2.155159655333841,3.8367319915254217,1
2.1808933675532303,3.8367319915254217,1
2.1808933675532303,3.939353813559321,1
2.20709006294062,3.939353813559321,1
2.20709006294062,4.045286016949157,1
2.2336807116080095,4.045286016949157,1
2.2336807116080095,4.151218220338981,1
2.2607763438273993,4.151218220338981,1
2.2607763438273993,4.257150423728817,1
2.288314413678789,4.257150423728817,1
2.288314413678789,4.363082627118642,1
