Request Id,prefill_e2e_time_normalized
4,5.6013528851123545e-05
3,4.531377614218502e-05
5,4.62805027325189e-05
0,5.013533143698011e-05
1,5.498779712421068e-05
10,0.00031179435975126947
14,0.0015469658244867618
6,6.311314941361207e-05
8,0.00027790794342080375
2,4.818268118960789e-05
15,0.0012640142576804128
7,9.243198822470153e-05
24,0.0008911427120192119
13,0.004761151830592685
26,0.011287243987367258
11,0.00014742222373011175
16,0.008548950240361543
9,0.00021226681903143769
28,0.002364642765534756
33,0.0018897179350862699
19,0.0008186322141437702
17,0.0009680474418354932
12,0.0018689867677167608
20,0.0005666146210564377
36,0.007174098997695326
25,0.0003860054687583111
22,0.0021920863913308087
21,0.0023345458778521893
34,0.0007160947400294607
32,0.003994436283129931
31,0.0010849644510496348
45,0.0009570681796878826
37,0.012239632954997933
41,0.001326694737697263
44,0.0018810919506950044
42,0.0015443852884858818
43,0.012253571649726175
29,0.0016909685882210762
35,0.0011698861353892807
30,0.008934480390266673
47,0.013920120253987492
18,0.0006388152875572241
57,0.005154592733670773
48,0.0032810817809065212
23,0.0011603374479713243
52,0.002559698063453014
39,0.007642384807389491
27,0.002886956368872722
38,0.004809405947887109
49,0.0008700255010011184
56,0.002398783578127675
40,0.007986511772647947
63,0.019805133390017653
46,0.0028057526314414025
67,0.0012544734687491609
51,0.0030442840725764192
64,0.0014211416228855857
65,0.007711220781949058
54,0.0015957657797358107
58,0.00965160041470782
73,0.0012415293992063766
50,0.0006192308892243383
61,0.0033315222507932394
55,0.0009686504922092354
59,0.01909954403447035
53,0.001030324316742266
71,0.0024504049974416672
66,0.00892299604552272
60,0.0019178367610853272
79,0.026560281807539835
70,0.0034461085805410382
62,0.0019862247526335097
69,0.0033748608893771543
84,0.004812080736194903
75,0.000997031887014221
74,0.012891839322276794
76,0.018970456996271444
68,0.00465795414684018
88,0.004096756211192008
77,0.0020079704838721004
72,0.0011204269566468233
83,0.002221487467098471
86,0.008179533480239023
78,0.0011126389180562827
82,0.0029493883543691025
94,0.003033996983165811
80,0.0024079217530770395
81,0.004067572931121287
87,0.0010310568111372152
85,0.0037044587856198425
89,0.003228034762511085
91,0.0028693722292640576
90,0.0009906765084512212
93,0.001797656163408674
92,0.0023873023242589487
102,0.035342440374543455
108,0.005583411296580842
99,0.05629768934177633
96,0.0024463693895294715
110,0.004655380927387336
95,0.0007646102306779791
113,0.008325825718008002
104,0.00646268055989991
115,0.046745320204262385
114,0.020068483593811984
109,0.005507732241686668
98,0.0446235380348625
116,0.008877132841503899
119,0.001042678582794327
103,0.026475513944794846
112,0.00899289303335985
105,0.04829701751802624
97,0.0006753908064023427
107,0.006206057996613123
101,0.008682014635846606
121,0.013875812962396195
100,0.02336275871568149
111,0.0034556962205319858
106,0.026537588675660802
117,0.05649666440511672
122,0.005764663392116959
118,0.003399118196142493
120,0.01608073135870449
123,0.001407501440438251
126,0.06984959271995378
127,0.07036527184024587
125,0.041240670081626137
124,0.007265811679393165
