cdf,prefill_e2e_time_normalized
0.0,4.531377614218502e-05
0.01,4.679409091593293e-05
0.02,4.9237112323188886e-05
0.03,5.4065828643636874e-05
0.04,5.658149849612263e-05
0.05,7.33747429974934e-05
0.06,0.00012652593423805587
0.07,0.00020513391354829187
0.08,0.0002833297700336783
0.09,0.00034370513662429736
0.1,0.000512431875367
0.11,0.0006176524011793013
0.12,0.0006475934120800525
0.13,0.000696149812552173
0.14,0.0007539368227353051
0.15,0.0008212018784866376
0.16,0.0008767830085269082
0.17,0.0009300387379437276
0.18,0.0009665103451348277
0.19,0.0009715138743206936
0.2,0.0009932186598764212
0.21,0.0010193378149320111
0.22,0.0010310128614735182
0.23,0.0010515586151279416
0.24,0.0010982481952128257
0.25,0.0011184799469991882
0.26,0.0011605284217196836
0.27,0.0011906626818962384
0.28,0.001248778078150336
0.29,0.0012623923235620998
0.3,0.001334775407971362
0.31,0.0014125483079437647
0.32,0.0015000175688697753
0.33,0.0015467335762466825
0.34,0.0016129022852631584
0.35000000000000003,0.0017389779970554949
0.36,0.0018490141985104964
0.37,0.0018809708988652219
0.38,0.0018970288298460246
0.39,0.001954082396605864
0.4,0.002003621337624382
0.41000000000000003,0.002194144466634545
0.42,0.002259927326754735
0.43,0.002352904979338555
0.44,0.0023845831772120454
0.45,0.0024001543043700798
0.46,0.002424069760387061
0.47000000000000003,0.0024491539589888865
0.48,0.00255532634081256
0.49,0.002820385138940613
0.5,0.0028781642990683897
0.51,0.002935028997704935
0.52,0.0030344084667422353
0.53,0.003101246786456166
0.54,0.003258802033180438
0.55,0.0033239561803102323
0.56,0.003377771766188995
0.5700000000000001,0.0034174444460579262
0.58,0.0034524364229350634
0.59,0.003687045406063691
0.6,0.004009063612728202
0.61,0.004081289072754526
0.62,0.004510138501176548
0.63,0.004658986123677706
0.64,0.004774662983435124
0.65,0.004810877081456395
0.66,0.005092940574125119
0.67,0.005514543356627144
0.68,0.0056486620509738445
0.6900000000000001,0.00604274199294954
0.7000000000000001,0.006437018303571229
0.71,0.007189690153583958
0.72,0.0074315038557115475
0.73,0.007691258349326783
0.74,0.00798100595283397
0.75,0.008216106539681267
0.76,0.008441850469631843
0.77,0.008654071112794743
0.78,0.008879884633745028
0.79,0.008926785879288225
0.8,0.00896952797612258
0.81,0.009565968455132587
0.8200000000000001,0.011420578442835554
0.8300000000000001,0.012245347819836513
0.84,0.012687593667060591
0.85,0.013826614280390228
0.86,0.01439545469702523
0.87,0.017496696921112283
0.88,0.019068563145302614
0.89,0.019813033896131482
0.9,0.021056766130372828
0.91,0.025137029196276126
0.92,0.02652765671872225
0.93,0.02752631924991023
0.9400000000000001,0.037583767663234846
0.9500000000000001,0.04343953425122974
0.96,0.0465755776307104
0.97,0.04981714516453874
0.98,0.05638921787091291
0.99,0.06624430207494783
1.0,0.07036527184024587
