cdf,request_e2e_time_normalized
0.0,0.01628144763881881
0.01,0.017065996675451754
0.02,0.021396090321519727
0.03,0.02930816959670355
0.04,0.04453780918760603
0.05,0.04677441552733895
0.06,0.04818799489119731
0.07,0.04962830216978746
0.08,0.05184209872933387
0.09,0.05736641958205348
0.1,0.060899406066976844
0.11,0.06295946944314475
0.12,0.06543770717544714
0.13,0.06631404250419536
0.14,0.06678614764070753
0.15,0.06790351724293253
0.16,0.06911471939067453
0.17,0.06974966128938695
0.18,0.07120339782571669
0.19,0.07417462697400816
0.2,0.07497745187616031
0.21,0.07550531784002644
0.22,0.0772663522134402
0.23,0.07968259682115326
0.24,0.08502432135902718
0.25,0.08804523018554275
0.26,0.08810677838119566
0.27,0.08907618918679465
0.28,0.08919555146604306
0.29,0.09138908890658344
0.3,0.09283100155911342
0.31,0.09351782119944924
0.32,0.09490142288061384
0.33,0.09639016294969956
0.34,0.09901243624756333
0.35000000000000003,0.09932800504226574
0.36,0.10002545162332296
0.37,0.1016402117617617
0.38,0.104952392216598
0.39,0.10927359663493386
0.4,0.11053975203453095
0.41000000000000003,0.11161517103605881
0.42,0.11218801110004344
0.43,0.1137480177109406
0.44,0.11490034245664565
0.45,0.11696591004160693
0.46,0.11943404392706365
0.47000000000000003,0.12189730333512853
0.48,0.12960060206088148
0.49,0.13124280685098985
0.5,0.13455496514593132
0.51,0.13800127627727457
0.52,0.1391919456453857
0.53,0.1403657064183084
0.54,0.14324350999745206
0.55,0.14771984855467776
0.56,0.15282565537758863
0.5700000000000001,0.15679364698234863
0.58,0.15950124175737074
0.59,0.16115472308813142
0.6,0.1672965571744633
0.61,0.16812277819271973
0.62,0.17014832613201314
0.63,0.17512744431994337
0.64,0.17590284110209906
0.65,0.17811761041773944
0.66,0.1792703488121159
0.67,0.18258042650953468
0.68,0.18656420251684622
0.6900000000000001,0.19201433638909465
0.7000000000000001,0.19571202238762533
0.71,0.1970959367591117
0.72,0.20496404757615735
0.73,0.21382169467586118
0.74,0.2193312065617456
0.75,0.22286788375435823
0.76,0.2308244284711971
0.77,0.24375567555808872
0.78,0.25780694374194363
0.79,0.2611567063944329
0.8,0.28616079110392434
0.81,0.3111727596566091
0.8200000000000001,0.31686541109853605
0.8300000000000001,0.36235527912856136
0.84,0.40540785540699464
0.85,0.4110602241413029
0.86,0.480673289518068
0.87,0.5340054289332977
0.88,0.6452934476874501
0.89,0.7116755692799744
0.9,0.8565645186934896
0.91,0.9864127535660127
0.92,1.1507785164113211
0.93,1.1966238357935366
0.9400000000000001,1.4449158259778516
0.9500000000000001,1.6555080821576025
0.96,2.5128141342547337
0.97,5.921337925642046
0.98,12.152716742951394
0.99,16.34027729823224
1.0,41.124041971521635
