Request Id,prefill_e2e_time
4,0.4073303818053704
3,0.1269692007504024
5,0.24741556760804606
0,0.36448385954684537
1,0.4307744026710665
10,4.382581520663844
14,12.122024200678265
6,1.4928153230801664
8,3.0597664570630494
2,0.3733194138570819
15,12.551661578766499
7,2.5326364773568217
24,13.976682295309319
13,12.017147220415938
26,17.664536840229758
11,12.926127998879927
16,12.199351992995922
9,3.8127366034426835
28,18.32598143289436
33,17.54414130934093
19,14.01580213835549
17,12.931177728038518
12,12.776393544111777
20,15.2221017946812
36,20.12334768853539
25,17.923777936323418
22,14.174030606345008
21,15.340300963366735
34,19.096814527105657
32,17.24797587055504
31,17.227065553766103
45,19.608412865445338
37,19.852684653006648
41,19.30738851770827
44,19.04981818468831
42,19.470065331941512
43,19.336136063267904
29,18.375755648198435
35,20.060037563519995
30,17.770681496240414
47,19.627369558122364
18,13.426619713877734
57,27.56676193967129
48,19.368225752691195
23,13.751159095908164
52,24.28129582991529
39,19.488081258843202
27,17.962642527126075
38,19.910940624252632
49,21.00502567067
56,27.713146678109027
40,19.279439419172146
63,27.92523807992489
46,19.74408126745315
67,29.6745699032614
51,24.52170820460306
64,28.715587632026143
65,28.50067201008372
54,25.967896533640847
58,27.622880386893783
73,34.02163012645234
50,24.084985436380638
61,28.141368452450493
55,27.32853633669916
59,27.617940673844128
53,25.508769433905023
71,31.049081722583367
66,28.223436491988366
60,27.98699185451818
79,38.9373731298534
70,30.54630645791576
62,28.59766398841727
69,30.174631211921138
84,41.124041971521635
75,36.82437571498324
74,34.09891500742212
76,36.72680474478152
68,29.96927698076972
88,45.113479397646394
77,37.35628288195655
72,32.185384756636644
83,40.6776570100401
86,41.33118267564778
78,39.652225761689806
82,39.63683009436637
94,54.505755802573795
80,39.40323156735268
81,39.67510637015703
87,44.576710172706356
85,41.73072822000753
89,45.60567512475661
91,50.452171907149925
90,49.94396549705987
93,53.52880757782009
92,51.58005401793885
102,79.20240887935188
108,78.49159600733348
99,80.3931003800566
96,64.96823187773417
110,79.02974662332741
95,63.30055177736853
113,81.08521666767993
104,77.80421126063501
115,80.30846011092278
114,81.21715310415709
109,78.21530556419236
98,81.83956875593782
116,80.17826382446322
119,91.42622885373777
103,77.83801099769684
112,80.92704440720529
105,77.22693101132396
97,81.82021924161181
107,77.6501976536234
101,79.27547563991536
121,91.09471209813103
100,79.36329135717003
111,80.58683586280591
106,77.06515751411897
117,79.60380014680946
122,92.03861571853938
118,81.2083328240403
120,91.27423119200668
123,98.74607855682638
126,99.11657206961442
127,99.07430275106617
125,99.2662928864741
124,99.50529094928939
