cdf,batch_num_decode_tokens,replica
0.0,0.9900000000000001,1
0.01,0.9900000000000001,1
0.02,0.9900000000000001,1
0.03,1.993661701417351,1
0.04,2.974233423476717,1
0.05,2.974233423476717,1
0.06,4.014835333028612,1
0.07,4.014835333028612,1
0.08,4.014835333028612,1
0.09,4.014835333028612,1
0.1,4.014835333028612,1
0.11,4.014835333028612,1
0.12,5.002829575110743,1
0.13,5.002829575110743,1
0.14,5.002829575110743,1
0.15,5.002829575110743,1
0.16,5.002829575110743,1
0.17,5.002829575110743,1
0.18,5.002829575110743,1
0.19,5.002829575110743,1
0.2,5.002829575110743,1
0.21,5.002829575110743,1
0.22,5.98951037117267,1
0.23,5.98951037117267,1
0.24,5.98951037117267,1
0.25,5.98951037117267,1
0.26,5.98951037117267,1
0.27,5.98951037117267,1
0.28,5.98951037117267,1
0.29,5.98951037117267,1
0.3,5.98951037117267,1
0.31,5.98951037117267,1
0.32,7.028793021534833,1
0.33,7.028793021534833,1
0.34,7.924973703917148,1
0.35000000000000003,7.924973703917148,1
0.36,8.935418643763667,1
0.37,8.935418643763667,1
0.38,8.935418643763667,1
0.39,8.935418643763667,1
0.4,8.935418643763667,1
0.41000000000000003,8.935418643763667,1
0.42,8.935418643763667,1
0.43,8.935418643763667,1
0.44,10.074696689511441,1
0.45,10.074696689511441,1
0.46,10.074696689511441,1
0.47000000000000003,10.074696689511441,1
0.48,10.074696689511441,1
0.49,10.074696689511441,1
0.5,10.074696689511441,1
0.51,10.074696689511441,1
0.52,10.913817739716958,1
0.53,10.913817739716958,1
0.54,10.913817739716958,1
0.55,10.913817739716958,1
0.56,10.913817739716958,1
0.5700000000000001,10.913817739716958,1
0.58,10.913817739716958,1
0.59,10.913817739716958,1
0.6,10.913817739716958,1
0.61,12.06167417903937,1
0.62,12.06167417903937,1
0.63,12.06167417903937,1
0.64,12.06167417903937,1
0.65,12.06167417903937,1
0.66,12.06167417903937,1
0.67,13.066290498147941,1
0.68,13.066290498147941,1
0.6900000000000001,13.066290498147941,1
0.7000000000000001,13.066290498147941,1
0.71,13.066290498147941,1
0.72,13.066290498147941,1
0.73,13.066290498147941,1
0.74,13.066290498147941,1
0.75,13.874292528934198,1
0.76,13.874292528934198,1
0.77,13.874292528934198,1
0.78,13.874292528934198,1
0.79,15.029881751769887,1
0.8,15.029881751769887,1
0.81,15.029881751769887,1
0.8200000000000001,15.029881751769887,1
0.8300000000000001,15.959309654787097,1
0.84,15.959309654787097,1
0.85,15.959309654787097,1
0.86,15.959309654787097,1
0.87,16.94621214351123,1
0.88,16.94621214351123,1
0.89,16.94621214351123,1
0.9,16.94621214351123,1
0.91,16.94621214351123,1
0.92,17.994143369901202,1
0.93,17.994143369901202,1
0.9400000000000001,17.994143369901202,1
0.9500000000000001,17.994143369901202,1
0.96,19.106877269947287,1
0.97,19.88667024086647,1
0.98,19.88667024086647,1
0.99,19.88667024086647,1
1.0,21.116435486210914,1
