cdf,request_model_execution_time_normalized
0.0,0.00908308839954511
0.01,0.009319469387167179
0.02,0.009941502747078912
0.03,0.015157079902760186
0.04,0.01698896119257131
0.05,0.019770489221254992
0.06,0.024942254303488433
0.07,0.028004310800322285
0.08,0.030445057748807763
0.09,0.03162306346507014
0.1,0.032268876593727985
0.11,0.03240341040304659
0.12,0.03258826957468939
0.13,0.03264692542508086
0.14,0.03294221586732514
0.15,0.033061566832609635
0.16,0.03319784741179341
0.17,0.03350259718256483
0.18,0.03383179729493401
0.19,0.033893533486766554
0.2,0.034028002312920254
0.21,0.034234662702143766
0.22,0.03437330303259448
0.23,0.0345275032912978
0.24,0.03453558744859421
0.25,0.03459246362192185
0.26,0.034772199719205456
0.27,0.034917048525863754
0.28,0.03494923237113602
0.29,0.03507683891853118
0.3,0.03514944765503179
0.31,0.0352216677251376
0.32,0.035306487424753716
0.33,0.03542921803897436
0.34,0.035449795324832924
0.35000000000000003,0.03570965913365706
0.36,0.036073042639224756
0.37,0.036094691839539166
0.38,0.0362272652770902
0.39,0.036288544741393106
0.4,0.036394713029475716
0.41000000000000003,0.03659311146963553
0.42,0.036788492744424195
0.43,0.036832149883592985
0.44,0.03697705782210668
0.45,0.037481354593043685
0.46,0.03764672821689145
0.47000000000000003,0.03795556896595928
0.48,0.03826369116594233
0.49,0.038472574229435945
0.5,0.0386376115837062
0.51,0.038686427141951356
0.52,0.03908302539104773
0.53,0.0391746314754302
0.54,0.039255727737118974
0.55,0.03932420263588621
0.56,0.03942662515606907
0.5700000000000001,0.03951738782400619
0.58,0.039612445897288434
0.59,0.039640648617448294
0.6,0.03974902017732517
0.61,0.04022402152522706
0.62,0.04083417390595187
0.63,0.04100763888055526
0.64,0.04123508503751173
0.65,0.04162165308852066
0.66,0.04222732154566528
0.67,0.04262325735165423
0.68,0.04314334724396294
0.6900000000000001,0.04321821833825036
0.7000000000000001,0.0436376572986264
0.71,0.04397997359782743
0.72,0.04434934480426525
0.73,0.044372224108898656
0.74,0.04444793199963115
0.75,0.04516260294347599
0.76,0.045557670293590743
0.77,0.04602531071995322
0.78,0.04681473008467954
0.79,0.04801424610304884
0.8,0.049190874126420335
0.81,0.049610340613752205
0.8200000000000001,0.05019275583401251
0.8300000000000001,0.051208264381866944
0.84,0.05144664268573529
0.85,0.05225315659343222
0.86,0.05281926092085391
0.87,0.05504464362210797
0.88,0.056499137721023135
0.89,0.05785162734909517
0.9,0.059086561942542665
0.91,0.06001045202805766
0.92,0.06099751246162289
0.93,0.06665975023112787
0.9400000000000001,0.06938749434329222
0.9500000000000001,0.07892147319907482
0.96,0.0904329387741471
0.97,0.19439323681510057
0.98,0.524254473044636
0.99,0.6540487844191012
1.0,1.5615691023362017
