Time (sec),request_arrival
2.0104956750793237,1
2.608114589617283,2
2.6575704597776353,3
4.157570459777635,4
4.873508672332393,5
5.644548572865102,6
5.713096660998057,7
6.0123661371633865,8
6.244017621001748,9
7.551058459973338,10
8.067281331827164,11
8.932411149264562,12
9.225378119337691,13
9.354270670921856,14
9.758644855403215,15
9.791617146581364,16
10.670676521142838,17
11.170056919886665,18
11.879647010338326,19
12.098532159831068,20
13.598532159831068,21
14.716561690161875,22
15.469965117758418,23
15.578197263821885,24
15.892552537122327,25
15.914948597663308,26
15.998737681233877,27
16.57324165306499,28
17.256021376369183,29
18.756021376369183,30
18.953154420908692,31
19.184537129943827,32
19.501557395697063,33
19.606591696241427,34
19.676177620066973,35
19.999027937698493,36
20.12770742053224,37
20.68175698595062,38
20.96912974864784,39
21.863047924186006,40
22.465476358354117,41
22.652726104394507,42
23.54539557110589,43
24.362169584546173,44
24.607255103368022,45
24.777324250321588,46
25.350955900342043,47
25.42622346103567,48
25.537737866531177,49
25.54143261903961,50
26.314486689580395,51
26.86107651059448,52
27.47174685327115,53
28.230470359632392,54
28.537560524297092,55
28.958083972128723,56
29.033377406579184,57
29.09419579885162,58
29.64611319264049,59
29.964587556554413,60
30.38106364093856,61
31.105146092333726,62
31.608689340834367,63
32.01193620258452,64
32.42152633566483,65
32.602693297180835,66
32.61834464294981,67
32.90533154487202,68
33.02610285582302,69
33.288673866976126,70
34.24870809366582,71
34.381955149758866,72
34.411990868706624,73
34.57720486309464,74
34.75098725961854,75
35.29321846769286,76
35.70034751280258,77
36.46635037688576,78
37.01213923209379,79
37.272902958934445,80
38.11396206206124,81
38.20530662617589,82
38.21679360881255,83
38.263975246369206,84
38.904689061119484,85
39.21452333526672,86
39.302457613813864,87
39.650077072275174,88
39.73269845056917,89
40.328589449904065,90
40.624025808855194,91
40.863867957771674,92
41.043286661638284,93
41.540794826811926,94
41.765356489260256,95
41.81122224034243,96
41.874007197714604,97
43.374007197714604,98
44.570156478429524,99
45.17165500837381,100
45.32618955929144,101
46.82618955929144,102
47.58042259970322,103
48.21138281591704,104
48.50972120036298,105
48.6686142511479,106
48.719293497345305,107
49.88377033424994,108
50.18796777661762,109
50.301018841411604,110
50.48362925101391,111
50.916451312403645,112
51.01371282865153,113
51.98482131160462,114
52.695304650625836,115
53.33082939982238,116
53.61372823787189,117
54.10723083460774,118
54.54588360893271,119
55.070575578554674,120
55.114687627923445,121
55.38344990778304,122
55.40470232819217,123
55.74530256122904,124
55.945437782367485,125
56.02348651266059,126
