Request Id,decode_time_execution_plus_preemption_normalized
4,0.005211508545063026
3,0.015879646370621336
5,0.023641467201461954
0,0.0163313525596449
1,0.016202212536246225
10,0.03764662953615485
14,0.02618968564371877
6,0.04105004990649789
8,0.042091316763001665
2,0.029831753734801843
15,0.03278842969987086
7,0.041220189214083436
24,0.04116276855881882
13,0.0349516509866176
26,0.02825953801772157
11,0.03444659864496261
16,0.03521003787198325
9,0.040569439151122426
28,0.02516452476671883
33,0.0
19,0.034594045276881404
17,0.034599009113367676
12,0.033937020528093595
20,0.0344593615829341
36,0.02687583219373193
25,0.03131437162720291
22,0.034103463359685456
21,0.033719850147149316
34,0.03164677943048411
32,0.03226870740219287
31,0.03224102641442317
45,0.03265502776114155
37,0.03225314884288707
41,0.03449330214181875
44,0.036036123146086306
42,0.035080195135035755
43,0.03497982073807227
29,0.03378999950217862
35,0.03430444949419339
30,0.03408295398125756
47,0.03594562751211674
18,0.034573783281944194
57,0.028257785250249096
48,0.03547318666157137
23,0.03459572664694925
52,0.034003094362805686
39,0.03422923237444863
27,0.03340768305716255
38,0.0339958776114814
49,0.03480424044351642
56,0.029982107594783983
40,0.033994308163758695
63,0.030638296115290013
46,0.034264738501188684
67,0.027197235691567394
51,0.03273852519109948
64,0.032005422141906846
65,0.032598284805400314
54,0.03276451024619913
58,0.032960449817303776
73,0.01767757847159146
50,0.033196746907808966
61,0.03384694732708345
55,0.03330816162113518
59,0.033690275562157354
53,0.033916537821009694
71,0.03609971196928457
66,0.03448160954197652
60,0.034460605977792325
79,0.03016180011462814
70,0.0354389290099467
62,0.03440064415476985
69,0.03483377577392633
84,0.0
75,0.03292855675309225
74,0.034094285156000236
76,0.03256856192685924
68,0.03395728743628872
88,0.02956009517764316
77,0.0343806242026159
72,0.03568091083026356
83,0.03734077674265234
86,0.038320930294818104
78,0.035910216372336906
82,0.036785820709526164
94,0.03198480051614183
80,0.0376348849969322
81,0.03887689299754516
87,0.042305171746165306
85,0.0427572460591861
89,0.04405341690818365
91,0.04498584906381011
90,0.04818207907574095
93,0.05564130359422242
92,0.0566051628575745
102,0.0293456576966992
108,0.028866978118953772
99,0.03228738454744001
96,0.04886620588348564
110,0.03519529437611585
95,0.0474058256905605
113,0.041222507189865
104,0.03759242164611193
115,0.051115321196701084
114,0.05137294379842659
109,0.046191326618271876
98,0.042726225225428106
116,0.055177962260488836
119,0.024495876393761558
103,0.04287787832384906
112,0.04933875629838957
105,0.043052192548406344
97,0.04129575830801279
107,0.042989180315735835
101,0.04165931664087886
121,0.03406368796431496
100,0.04136366278151542
111,0.04753451244116877
106,0.044107714225120914
117,0.04070076881342571
122,0.02818449918558082
118,0.03621709430687357
120,0.02403805198006085
123,0.010838380350227652
126,0.009131986156626599
127,0.008943280172421787
125,0.009017835390698175
124,0.00895319731868546
