Time (sec),Memory Usage (%),replica
0.7435129116008261,0.1191737288135597,0
0.7646565110522158,0.1191737288135597,0
0.7646565110522158,0.22510593220338437,0
0.7861404082316055,0.22510593220338437,0
0.7861404082316055,0.33103813559322015,0
0.8081224629789951,0.33103813559322015,0
0.8081224629789951,0.43697033898305593,0
0.8305483111343849,0.43697033898305593,0
0.8305483111343849,0.5429025423728806,0
0.8534530226497745,0.5429025423728806,0
0.8534530226497745,0.6488347457627164,0
0.8768697034451642,0.6488347457627164,0
0.8768697034451642,0.7547669491525411,0
0.900709716080554,0.7547669491525411,0
0.900709716080554,0.8606991525423768,0
0.9251044295159436,0.8606991525423768,0
0.9251044295159436,0.9666313559322015,0
0.9499621261193333,0.9666313559322015,0
0.9499621261193333,1.0725635593220373,0
0.975213776002723,1.0725635593220373,0
0.975213776002723,1.178495762711862,0
1.0009704094381127,1.178495762711862,0
1.0009704094381127,1.2844279661016977,0
1.0271694805055023,1.2844279661016977,0
1.0271694805055023,1.3903601694915224,0
1.0324217675999647,1.3903601694915224,0
1.053688752276892,1.3903601694915224,0
1.053688752276892,1.4962923728813582,0
1.0807298462562818,1.4962923728813582,0
1.0807298462562818,1.6187764830508433,0
1.1079967711476715,1.6187764830508433,0
1.1079967711476715,1.724708686440679,0
1.1312266886790612,1.724708686440679,0
1.1312266886790612,1.8306408898305038,0
1.154947995138451,1.8306408898305038,0
1.154947995138451,1.9365730932203395,0
1.1789775849898405,1.9365730932203395,0
1.1789775849898405,2.0425052966101642,0
1.2036424787772302,2.0425052966101642,0
1.2036424787772302,2.1484375,0
1.2287765058766198,2.1484375,0
1.2287765058766198,2.2543697033898358,0
1.2542156010080094,2.2543697033898358,0
1.2542156010080094,2.3603019067796605,0
1.280332491979399,2.3603019067796605,0
1.280332491979399,2.4662341101694962,0
1.3068778921347888,2.4662341101694962,0
1.3068778921347888,2.572166313559321,0
1.3337331444501785,2.572166313559321,0
1.3337331444501785,2.67478813559322,0
1.3612000811175682,2.67478813559322,0
1.3612000811175682,2.780720338983056,0
1.3890179364409578,2.780720338983056,0
1.3890179364409578,2.8866525423728806,0
1.4171051549643476,2.8866525423728806,0
1.4171051549643476,2.9925847457627164,0
1.4457870840157372,2.9925847457627164,0
1.4457870840157372,3.0488612288135597,0
1.4631961702710312,3.0488612288135597,0
1.4631961702710312,3.0488612288135597,0
1.470912737698221,3.0488612288135597,0
1.470912737698221,3.0488612288135597,0
1.4786293051254107,3.0488612288135597,0
1.4786293051254107,3.0488612288135597,0
1.4863458725526004,3.0488612288135597,0
1.4863458725526004,3.0488612288135597,0
1.4940624399797902,3.0488612288135597,0
1.4940624399797902,3.0488612288135597,0
1.50177900740698,3.0488612288135597,0
1.50177900740698,3.0488612288135597,0
1.5094955748341696,3.0488612288135597,0
1.5094955748341696,3.0488612288135597,0
1.5172121422613594,3.0488612288135597,0
1.5172121422613594,3.0488612288135597,0
1.524928709688549,3.0488612288135597,0
1.524928709688549,3.0488612288135597,0
1.5326452771157388,3.0488612288135597,0
1.5326452771157388,3.0488612288135597,0
1.5403618445429286,3.0488612288135597,0
1.5403618445429286,3.0488612288135597,0
1.5480784119701183,3.0488612288135597,0
1.5480784119701183,3.0488612288135597,0
1.555794979397308,3.0488612288135597,0
1.555794979397308,3.0488612288135597,0
1.5635115468244978,3.0488612288135597,0
1.5635115468244978,3.0488612288135597,0
1.5712281142516875,3.0488612288135597,0
1.5712281142516875,3.0488612288135597,0
1.5789446816788772,3.0488612288135597,0
1.5789446816788772,3.0488612288135597,0
1.586661249106067,3.0488612288135597,0
1.586661249106067,3.0488612288135597,0
1.5943778165332567,3.0488612288135597,0
1.5943778165332567,3.0488612288135597,0
1.6020943839604465,3.0488612288135597,0
1.6020943839604465,3.0488612288135597,0
1.6098109513876362,3.0488612288135597,0
1.6098109513876362,3.0488612288135597,0
1.617527518814826,3.0488612288135597,0
1.617527518814826,3.0488612288135597,0
1.6252440862420157,3.0488612288135597,0
1.6252440862420157,3.0488612288135597,0
1.6329606536692054,3.0488612288135597,0
1.6329606536692054,3.0488612288135597,0
1.6406772210963951,3.0488612288135597,0
1.6406772210963951,3.0488612288135597,0
1.6483937885235849,3.0488612288135597,0
1.6483937885235849,3.0488612288135597,0
1.6561103559507746,3.0488612288135597,0
1.6561103559507746,3.0488612288135597,0
1.6638269233779643,3.0488612288135597,0
1.6638269233779643,3.0488612288135597,0
1.671543490805154,3.0488612288135597,0
1.671543490805154,3.0488612288135597,0
1.6792600582323438,3.0488612288135597,0
1.6792600582323438,3.0488612288135597,0
1.6869766256595335,3.0488612288135597,0
1.6869766256595335,3.0488612288135597,0
1.6946931930867233,3.0488612288135597,0
1.6946931930867233,3.0488612288135597,0
1.702409760513913,3.0488612288135597,0
1.702409760513913,3.0488612288135597,0
1.7101263279411028,3.0488612288135597,0
1.7101263279411028,3.0488612288135597,0
1.7178428953682925,3.0488612288135597,0
1.7178428953682925,3.0488612288135597,0
1.7255594627954822,3.0488612288135597,0
1.7255594627954822,3.0488612288135597,0
1.733276030222672,3.0488612288135597,0
1.733276030222672,3.0488612288135597,0
1.7409925976498617,3.0488612288135597,0
1.7409925976498617,3.0488612288135597,0
1.7487091650770514,3.0488612288135597,0
1.7487091650770514,3.0488612288135597,0
1.7564257325042412,3.0488612288135597,0
1.7564257325042412,3.0488612288135597,0
1.764142299931431,3.0488612288135597,0
1.764142299931431,3.0488612288135597,0
1.7718588673586206,3.0488612288135597,0
1.7718588673586206,3.0488612288135597,0
1.7795754347858104,3.0488612288135597,0
1.7795754347858104,3.0488612288135597,0
1.787292002213,3.0488612288135597,0
1.787292002213,3.0488612288135597,0
1.7950085696401898,3.0488612288135597,0
1.7950085696401898,3.0488612288135597,0
1.8027251370673796,3.0488612288135597,0
1.8027251370673796,3.0488612288135597,0
1.8104417044945693,3.0488612288135597,0
1.8104417044945693,3.0488612288135597,0
1.818158271921759,3.0488612288135597,0
1.818158271921759,3.0488612288135597,0
1.8258748393489488,3.0488612288135597,0
1.8258748393489488,3.0488612288135597,0
1.8335914067761385,3.0488612288135597,0
1.8335914067761385,3.0488612288135597,0
1.8413079742033283,3.0488612288135597,0
1.8413079742033283,3.0488612288135597,0
1.849024541630518,3.0488612288135597,0
1.849024541630518,3.0488612288135597,0
1.8567411090577077,3.0488612288135597,0
1.8567411090577077,3.0488612288135597,0
1.8644576764848975,3.0488612288135597,0
1.8644576764848975,3.0488612288135597,0
1.8721742439120872,3.0488612288135597,0
1.8721742439120872,3.0488612288135597,0
1.879890811339277,3.0488612288135597,0
1.879890811339277,3.0488612288135597,0
1.8876073787664667,3.0488612288135597,0
1.8876073787664667,3.0488612288135597,0
1.8953239461936564,3.0488612288135597,0
1.8953239461936564,3.0488612288135597,0
1.9030405136208461,3.0488612288135597,0
1.9030405136208461,3.0488612288135597,0
1.9107570810480359,3.0488612288135597,0
1.9107570810480359,3.0488612288135597,0
1.9184736484752256,3.0488612288135597,0
1.9184736484752256,3.06541313559322,0
1.9261902159024153,3.06541313559322,0
1.9261902159024153,3.06541313559322,0
1.933906783329605,3.06541313559322,0
1.933906783329605,3.06541313559322,0
1.9416233507567948,3.06541313559322,0
1.9416233507567948,3.06541313559322,0
1.9493399181839846,3.06541313559322,0
1.9493399181839846,3.06541313559322,0
1.9570564856111743,3.06541313559322,0
1.9570564856111743,3.06541313559322,0
1.964773053038364,3.06541313559322,0
1.964773053038364,3.06541313559322,0
1.9724896204655538,3.06541313559322,0
1.9724896204655538,3.06541313559322,0
1.9802061878927435,3.06541313559322,0
1.9802061878927435,3.06541313559322,0
1.9879227553199332,3.06541313559322,0
1.9879227553199332,3.06541313559322,0
1.995639322747123,3.06541313559322,0
1.995639322747123,3.0819650423728806,0
2.003355890174313,3.0819650423728806,0
2.003355890174313,3.0819650423728806,0
2.0104956750793237,3.0819650423728806,0
2.011072457601503,3.0819650423728806,0
2.011072457601503,3.2011387711864403,0
2.0338953535648927,3.2011387711864403,0
2.0338953535648927,3.307070974576276,0
2.0572164070962824,3.307070974576276,0
2.0572164070962824,3.4130031779661008,0
2.080981254035672,3.4130031779661008,0
