cdf,attn_decode,replica
0.0,0.0,0
0.01,0.0411654345407659,0
0.02,0.041997059480983395,0
0.03,0.041997059480983395,0
0.04,0.041997059480983395,0
0.05,0.043711050277064754,0
0.06,0.044594101797813514,0
0.07,0.044594101797813514,0
0.08,0.04549499274322388,0
0.09,0.04641408350571326,0
0.1,0.04641408350571326,0
0.11,0.051295666275178016,0
0.12,0.051295666275178016,0
0.13,0.051295666275178016,0
0.14,0.05900433628071072,0
0.15,0.06924259937610815,0
0.16,0.06924259937610815,0
0.17,0.07500981247423841,0
0.18,0.07807112509434813,0
0.19,0.07807112509434813,0
0.2,0.07807112509434813,0
0.21,0.07964831954069858,0
0.22,0.07964831954069858,0
0.23,0.07964831954069858,0
0.24,0.08289893966275547,0
0.25,0.08457366571654851,0
0.26,0.08980358875091662,0
0.27,0.09346866736538112,0
0.28,0.09346866736538112,0
0.29,0.0972833257620909,0
0.3,0.09924864547445637,0
0.31,0.09924864547445637,0
0.32,0.10329919727425053,0
0.33,0.10329919727425053,0
0.34,0.10329919727425053,0
0.35000000000000003,0.10329919727425053,0
0.36,0.10751506085038566,0
0.37,0.10968708228170655,0
0.38,0.11190298293386225,0
0.39,0.11190298293386225,0
0.4,0.11416364925575845,0
0.41000000000000003,0.11416364925575845,0
0.42,0.11416364925575845,0
0.43,0.11416364925575845,0
0.44,0.11416364925575845,0
0.45,0.11416364925575845,0
0.46,0.11646998560435963,0
0.47000000000000003,0.11646998560435963,0
0.48,0.11646998560435963,0
0.49,0.11646998560435963,0
0.5,0.11646998560435963,0
0.51,0.11882291460646792,0
0.52,0.11882291460646792,0
0.53,0.11882291460646792,0
0.54,0.11882291460646792,0
0.55,0.12122337752781072,0
0.56,0.12122337752781072,0
0.5700000000000001,0.12122337752781072,0
0.58,0.12122337752781072,0
0.59,0.12122337752781072,0
0.6,0.12122337752781072,0
0.61,0.12122337752781072,0
0.62,0.12367233464958467,0
0.63,0.12367233464958467,0
0.64,0.12367233464958467,0
0.65,0.12617076565260657,0
0.66,0.12617076565260657,0
0.67,0.12871967000922488,0
0.68,0.1313200673831486,0
0.6900000000000001,0.1313200673831486,0
0.7000000000000001,0.1313200673831486,0
0.71,0.1313200673831486,0
0.72,0.13397299803735366,0
0.73,0.13397299803735366,0
0.74,0.13397299803735366,0
0.75,0.1394407257401331,0
0.76,0.14225771009851965,0
0.77,0.14225771009851965,0
0.78,0.14225771009851965,0
0.79,0.14225771009851965,0
0.8,0.14513160323182306,0
0.81,0.14513160323182306,0
0.8200000000000001,0.14513160323182306,0
0.8300000000000001,0.14513160323182306,0
0.84,0.14806355481226394,0
0.85,0.14806355481226394,0
0.86,0.15105473773776426,0
0.87,0.15410634860115338,0
0.88,0.15410634860115338,0
0.89,0.16363608029083504,0
0.9,0.1669418596906499,0
0.91,0.17375511791697984,0
0.92,0.17375511791697984,0
0.93,0.17375511791697984,0
0.9400000000000001,0.1772653223193431,0
0.9500000000000001,0.1772653223193431,0
0.96,0.18822717415038198,0
0.97,0.21651379711411095,0
0.98,0.2592156326429002,0
0.99,0.2592156326429002,0
1.0,0.2922659788167518,0
