cdf,input_layernorm,replica
0.0,0.003965059780759759,0
0.01,0.003965059780759759,0
0.02,0.003965059780759759,0
0.03,0.003965059780759759,0
0.04,0.003965059780759759,0
0.05,0.003965059780759759,0
0.06,0.003965059780759759,0
0.07,0.003965059780759759,0
0.08,0.003965059780759759,0
0.09,0.003965059780759759,0
0.1,0.003965059780759759,0
0.11,0.003965059780759759,0
0.12,0.003965059780759759,0
0.13,0.003965059780759759,0
0.14,0.003965059780759759,0
0.15,0.003965059780759759,0
0.16,0.003965059780759759,0
0.17,0.003965059780759759,0
0.18,0.003965059780759759,0
0.19,0.006941650704251687,0
0.2,0.006941650704251687,0
0.21,0.006941650704251687,0
0.22,0.006941650704251687,0
0.23,0.006941650704251687,0
0.24,0.006941650704251687,0
0.25,0.006941650704251687,0
0.26,0.006941650704251687,0
0.27,0.006941650704251687,0
0.28,0.006941650704251687,0
0.29,0.006941650704251687,0
0.3,0.006941650704251687,0
0.31,0.006941650704251687,0
0.32,0.006941650704251687,0
0.33,0.006941650704251687,0
0.34,0.006941650704251687,0
0.35000000000000003,0.006941650704251687,0
0.36,0.006941650704251687,0
0.37,0.006941650704251687,0
0.38,0.006941650704251687,0
0.39,0.006941650704251687,0
0.4,0.006941650704251687,0
0.41000000000000003,0.006941650704251687,0
0.42,0.006941650704251687,0
0.43,0.006941650704251687,0
0.44,0.006941650704251687,0
0.45,0.006941650704251687,0
0.46,0.006941650704251687,0
0.47000000000000003,0.006941650704251687,0
0.48,0.006941650704251687,0
0.49,0.006941650704251687,0
0.5,0.006941650704251687,0
0.51,0.006941650704251687,0
0.52,0.006941650704251687,0
0.53,0.006941650704251687,0
0.54,0.006941650704251687,0
0.55,0.006941650704251687,0
0.56,0.006941650704251687,0
0.5700000000000001,0.006941650704251687,0
0.58,0.006941650704251687,0
0.59,0.006941650704251687,0
0.6,0.006941650704251687,0
0.61,0.006941650704251687,0
0.62,0.006941650704251687,0
0.63,0.006941650704251687,0
0.64,0.006941650704251687,0
0.65,0.006941650704251687,0
0.66,0.006941650704251687,0
0.67,0.006941650704251687,0
0.68,0.006941650704251687,0
0.6900000000000001,0.006941650704251687,0
0.7000000000000001,0.006941650704251687,0
0.71,0.006941650704251687,0
0.72,0.006941650704251687,0
0.73,0.006941650704251687,0
0.74,0.006941650704251687,0
0.75,0.006941650704251687,0
0.76,0.006941650704251687,0
0.77,0.006941650704251687,0
0.78,0.006941650704251687,0
0.79,0.006941650704251687,0
0.8,0.006941650704251687,0
0.81,0.006941650704251687,0
0.8200000000000001,0.006941650704251687,0
0.8300000000000001,0.006941650704251687,0
0.84,0.006941650704251687,0
0.85,0.006941650704251687,0
0.86,0.006941650704251687,0
0.87,0.006941650704251687,0
0.88,0.006941650704251687,0
0.89,0.006941650704251687,0
0.9,0.006941650704251687,0
0.91,0.006941650704251687,0
0.92,0.006941650704251687,0
0.93,0.006941650704251687,0
0.9400000000000001,0.006941650704251687,0
0.9500000000000001,0.006941650704251687,0
0.96,0.006941650704251687,0
0.97,0.006941650704251687,0
0.98,0.006941650704251687,0
0.99,0.006941650704251687,0
1.0,0.006941650704251687,0
