Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_prefill_tokens_cached,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_arrived_at,replica
112,96.024704,0.313806,15.665472,0.051194,15.665472,0.051194,0.000000,80.359232,15.665472,0.051194,80.927044,0.008993,0.567812,0.000063,0.049339,0.182610,9305.000000,8999.000000,512,306.000000,29.408497,0,50.483629,2
113,87.680818,0.548005,7.220638,0.045129,7.220638,0.045129,0.000000,80.460180,7.220638,0.045129,81.085217,0.008326,0.625037,0.000064,0.041223,0.432822,9899.000000,9739.000000,512,160.000000,60.868750,0,50.916451,2
114,92.930184,0.407589,11.977297,0.052532,11.977297,0.052532,0.000000,80.952887,11.977297,0.052532,81.217153,0.020068,0.264266,0.000065,0.051373,0.097262,4275.000000,4047.000000,512,228.000000,17.750000,0,51.013713,2
115,91.707177,0.411243,11.495516,0.051549,11.495516,0.051549,0.000000,80.211661,11.495516,0.051549,80.308460,0.046745,0.096799,0.000056,0.051115,0.971108,1941.000000,1718.000000,512,223.000000,7.704036,0,51.984821,2
116,92.979551,0.400774,13.413072,0.057815,13.413072,0.057815,0.000000,79.566479,13.413072,0.057815,80.178264,0.008877,0.611785,0.000068,0.055178,0.710483,9264.000000,9032.000000,512,232.000000,38.931034,0,52.695305,2
117,102.966041,0.179383,23.460771,0.040872,23.460771,0.040872,0.000000,79.505271,23.460771,0.040872,79.603800,0.056497,0.098529,0.000070,0.040701,0.635525,1983.000000,1409.000000,512,574.000000,2.454704,0,53.330829,2
118,103.518063,0.168049,24.228027,0.039331,24.228027,0.039331,0.000000,79.290036,24.228027,0.039331,81.208333,0.003399,1.918297,0.000080,0.036217,0.282899,24507.000000,23891.000000,512,616.000000,38.784091,0,53.613728,2
119,91.597700,13.085386,10.930984,1.561569,10.930984,1.561569,0.000000,80.666716,10.930984,1.561569,91.426229,0.001043,10.759513,0.000123,0.024496,0.493503,87691.000000,87684.000000,512,7.000000,12526.285714,0,54.107231,2
120,103.149029,0.208804,12.253008,0.024804,12.253008,0.024804,0.000000,90.896021,12.253008,0.024804,91.274231,0.016081,0.378210,0.000067,0.024038,0.438653,6170.000000,5676.000000,512,494.000000,11.489879,0,54.545884,2
121,94.126380,1.057600,3.406404,0.038274,3.406404,0.038274,0.000000,90.719977,3.406404,0.038274,91.094712,0.013876,0.374735,0.000057,0.034064,0.524692,6654.000000,6565.000000,512,89.000000,73.764045,0,55.070576,2
122,101.564976,0.300488,10.545700,0.031200,10.545700,0.031200,0.000000,91.019276,10.545700,0.031200,92.038616,0.005765,1.019339,0.000064,0.028184,0.044112,16304.000000,15966.000000,512,338.000000,47.236686,0,55.114688,2
123,103.081431,0.257704,11.348907,0.028372,11.348907,0.028372,0.000000,91.732523,11.348907,0.028372,98.746079,0.001408,7.013555,0.000100,0.010838,0.268762,70557.000000,70157.000000,512,400.000000,175.392500,0,55.383450,2
124,104.572801,0.184758,5.923770,0.010466,5.923770,0.010466,0.000000,98.649031,5.923770,0.010466,99.505291,0.007266,0.856260,0.000063,0.008953,0.021252,14261.000000,13695.000000,512,566.000000,24.196113,0,55.404702,2
125,103.378426,0.226707,4.248617,0.009317,4.248617,0.009317,0.000000,99.129809,4.248617,0.009317,99.266293,0.041241,0.136484,0.000057,0.009018,0.340600,2863.000000,2407.000000,512,456.000000,5.278509,0,55.745303,2
126,102.732839,0.259426,3.693001,0.009326,3.693001,0.009326,0.000000,99.039838,3.693001,0.009326,99.116572,0.069850,0.076734,0.000054,0.009132,0.200135,1815.000000,1419.000000,512,396.000000,3.583333,0,55.945438,2
127,103.000403,0.234625,3.987476,0.009083,3.987476,0.009083,0.000000,99.012927,3.987476,0.009083,99.074303,0.070365,0.061376,0.000044,0.008943,0.078049,1847.000000,1408.000000,512,439.000000,3.207289,0,56.023487,2
