Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_prefill_tokens_cached,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_arrived_at,replica
25,26.222086,0.098951,12.391983,0.046762,12.391983,0.046762,0.000000,13.830104,12.391983,0.046762,17.923778,0.000386,4.093674,0.000088,0.031314,0.108232,46699.000000,46434.000000,512,265.000000,175.222642,0,15.578197,2
26,18.399285,0.707665,0.850112,0.032697,0.850112,0.032697,0.000000,17.549173,0.850112,0.032697,17.664537,0.011287,0.115364,0.000074,0.028260,0.314355,1591.000000,1565.000000,512,26.000000,60.192308,0,15.892553,2
27,42.851366,0.057519,25.237157,0.033875,25.237157,0.033875,0.000000,17.614210,25.237157,0.033875,17.962643,0.002887,0.348433,0.000056,0.033408,0.022396,6967.000000,6222.000000,512,745.000000,8.351678,0,15.914949,2
28,18.602791,1.691163,0.755692,0.068699,0.755692,0.068699,0.000000,17.847099,0.755692,0.068699,18.325981,0.002365,0.478883,0.000062,0.025165,0.083789,7761.000000,7750.000000,512,11.000000,704.545455,0,15.998738,2
29,38.109115,0.065255,20.390520,0.034915,20.390520,0.034915,0.000000,17.718596,20.390520,0.034915,18.375756,0.001691,0.657160,0.000060,0.033790,0.574504,11451.000000,10867.000000,512,584.000000,18.607877,0,16.573242,2
30,38.731698,0.062978,21.072282,0.034264,21.072282,0.034264,0.000000,17.659416,21.072282,0.034264,17.770681,0.008934,0.111266,0.000056,0.034083,0.682780,2604.000000,1989.000000,512,615.000000,3.234146,0,17.256021,2
31,28.317979,0.082320,12.073882,0.035098,12.073882,0.035098,0.000000,16.244096,12.073882,0.035098,17.227066,0.001085,0.982969,0.000062,0.032241,1.500000,16222.000000,15878.000000,512,344.000000,46.156977,0,18.756021,2
32,27.219006,0.088087,10.226687,0.033096,10.226687,0.033096,0.000000,16.992319,10.226687,0.033096,17.247976,0.003994,0.255657,0.000059,0.032269,0.197133,4627.000000,4318.000000,512,309.000000,13.974110,0,18.953154,2
33,17.544141,17.544141,0.556626,0.556626,0.556626,0.556626,0.000000,16.987515,0.556626,0.556626,17.544141,0.001890,0.556626,0.000060,0.000000,0.231383,9285.000000,9284.000000,512,1.000000,9284.000000,0,19.184537,2
34,26.628748,0.111885,9.434864,0.039642,9.434864,0.039642,0.000000,17.193884,9.434864,0.039642,19.096815,0.000716,1.902930,0.000071,0.031647,0.317020,26906.000000,26668.000000,512,238.000000,112.050420,0,19.501557,2
