game_id,history_hops,model_kind,model_checkpoint,cycle1_label,cycle1_slo_violations,cycle1_total_lateness,cycle1_total_cost,cycle1_end_reason,cycle2_label,cycle2_slo_violations,cycle2_total_lateness,cycle2_total_cost,cycle2_end_reason,cost_delta_cycle2_minus_cycle1,better_cycle,cycle1_log_file,cycle2_log_file
12000015,56,classical_joblib,simulator_output/GV3_Agent/BellmanConvergence/cached_v2_fast_100v/Model_Version100/cliff_aware_controller_value.joblib,model_adv_depth1_vs_trivial_ctrl,9,36.26127352470469,45.26127352470469,time_limit,model_adv_depth1_vs_model_ctrl_depth1,8,36.28271622024842,44.28271622024842,time_limit,-0.9785573044562739,model_adv_depth1_vs_model_ctrl_depth1,,
12000016,30,classical_joblib,simulator_output/GV3_Agent/BellmanConvergence/cached_v2_fast_100v/Model_Version100/cliff_aware_controller_value.joblib,model_adv_depth1_vs_trivial_ctrl,14,21.624756578501454,35.624756578501454,time_limit,model_adv_depth1_vs_model_ctrl_depth1,12,21.59014684699652,33.59014684699652,time_limit,-2.0346097315049363,model_adv_depth1_vs_model_ctrl_depth1,,
12000017,15,classical_joblib,simulator_output/GV3_Agent/BellmanConvergence/cached_v2_fast_100v/Model_Version100/cliff_aware_controller_value.joblib,model_adv_depth1_vs_trivial_ctrl,9,9.429386583994042,18.42938658399404,time_limit,model_adv_depth1_vs_model_ctrl_depth1,5,9.142060356153218,14.142060356153218,time_limit,-4.287326227840824,model_adv_depth1_vs_model_ctrl_depth1,,
12000018,78,classical_joblib,simulator_output/GV3_Agent/BellmanConvergence/cached_v2_fast_100v/Model_Version100/cliff_aware_controller_value.joblib,model_adv_depth1_vs_trivial_ctrl,20,43.28550478633646,63.28550478633646,time_limit,model_adv_depth1_vs_model_ctrl_depth1,17,43.18807739751673,60.18807739751673,time_limit,-3.0974273888197317,model_adv_depth1_vs_model_ctrl_depth1,,
12000019,10,classical_joblib,simulator_output/GV3_Agent/BellmanConvergence/cached_v2_fast_100v/Model_Version100/cliff_aware_controller_value.joblib,model_adv_depth1_vs_trivial_ctrl,11,9.419475078170157,20.41947507817016,time_limit,model_adv_depth1_vs_model_ctrl_depth1,5,9.12768418607817,14.12768418607817,time_limit,-6.2917908920919885,model_adv_depth1_vs_model_ctrl_depth1,,
12000020,14,classical_joblib,simulator_output/GV3_Agent/BellmanConvergence/cached_v2_fast_100v/Model_Version100/cliff_aware_controller_value.joblib,model_adv_depth1_vs_trivial_ctrl,10,9.388000202734624,19.388000202734624,time_limit,model_adv_depth1_vs_model_ctrl_depth1,10,9.728963324818794,19.728963324818793,time_limit,0.3409631220841689,model_adv_depth1_vs_trivial_ctrl,,
12000021,36,classical_joblib,simulator_output/GV3_Agent/BellmanConvergence/cached_v2_fast_100v/Model_Version100/cliff_aware_controller_value.joblib,model_adv_depth1_vs_trivial_ctrl,18,39.74110512685735,57.74110512685735,time_limit,model_adv_depth1_vs_model_ctrl_depth1,12,39.777427431397264,51.777427431397264,time_limit,-5.963677695460085,model_adv_depth1_vs_model_ctrl_depth1,,
12000022,12,classical_joblib,simulator_output/GV3_Agent/BellmanConvergence/cached_v2_fast_100v/Model_Version100/cliff_aware_controller_value.joblib,model_adv_depth1_vs_trivial_ctrl,14,6.595153336402488,20.59515333640249,time_limit,model_adv_depth1_vs_model_ctrl_depth1,7,6.295504961533578,13.295504961533577,time_limit,-7.299648374868912,model_adv_depth1_vs_model_ctrl_depth1,,
12000023,57,classical_joblib,simulator_output/GV3_Agent/BellmanConvergence/cached_v2_fast_100v/Model_Version100/cliff_aware_controller_value.joblib,model_adv_depth1_vs_trivial_ctrl,9,21.297205792487304,30.297205792487304,time_limit,model_adv_depth1_vs_model_ctrl_depth1,9,21.48839474025398,30.48839474025398,time_limit,0.19118894776667616,model_adv_depth1_vs_trivial_ctrl,,
12000024,1,classical_joblib,simulator_output/GV3_Agent/BellmanConvergence/cached_v2_fast_100v/Model_Version100/cliff_aware_controller_value.joblib,model_adv_depth1_vs_trivial_ctrl,18,1.2233359180517205,19.22333591805172,time_limit,model_adv_depth1_vs_model_ctrl_depth1,16,7.771634125455953,23.771634125455954,time_limit,4.548298207404233,model_adv_depth1_vs_trivial_ctrl,,
