cdf,request_execution_plus_preemption_time
0.0,0.37046039127789904
0.01,0.512864432374175
0.02,0.6641219725940705
0.03,0.7849919042457834
0.04,0.8610383953733384
0.05,0.9929595712224222
0.06,1.0171562612656653
0.07,1.3753407218214169
0.08,1.5725546733504356
0.09,1.7506843683744793
0.1,1.999509242877759
0.11,2.316647728602734
0.12,2.6164892971806433
0.13,3.460289550477428
0.14,3.640167347380572
0.15,3.7077244518983297
0.16,4.0710410509810435
0.17,4.2830729290037075
0.18,4.326529030731675
0.19,4.87702902953979
0.2,5.220042629131606
0.21,5.73247067854371
0.22,6.507723176314969
0.23,7.059776786310131
0.24,7.384642407167439
0.25,7.756072716813094
0.26,7.949916539631116
0.27,8.100867121437044
0.28,8.438371883428001
0.29,8.619443002580685
0.3,8.819551787680066
0.31,9.247658673966287
0.32,9.405436736303635
0.33,9.56086932899634
0.34,10.28410954366454
0.35000000000000003,10.719077651096683
0.36,11.207484132395287
0.37,11.34856841607752
0.38,11.44054671714754
0.39,11.62070792129839
0.4,11.83595357033561
0.41000000000000003,11.97779497862427
0.42,12.014827537252273
0.43,12.183149066261974
0.44,12.37530557738298
0.45,12.520844129247607
0.46,12.667157744298786
0.47000000000000003,13.033833271319827
0.48,13.199550847548878
0.49,13.251342035487987
0.5,13.731652234286887
0.51,14.07381041628544
0.52,14.150667526417987
0.53,14.24819610594477
0.54,14.310486295544248
0.55,14.478946951908458
0.56,14.689838751067235
0.5700000000000001,14.730228639873607
0.58,14.775372103205493
0.59,15.603331398377504
0.6,15.9320406603233
0.61,16.454589075667457
0.62,16.803190271556677
0.63,16.91967205081942
0.64,17.45162154221311
0.65,17.516569024415155
0.66,17.721505521178223
0.67,18.15556271650431
0.68,18.82340332712277
0.6900000000000001,19.010701937941747
0.7000000000000001,19.078310339504462
0.71,19.40826192921808
0.72,20.070394032324387
0.73,20.301174860683187
0.74,20.723859107993757
0.75,20.988521644792357
0.76,21.406624409576185
0.77,21.806456778056354
0.78,21.952397805156284
0.79,22.093833904258062
0.8,22.39255467115284
0.81,22.757315812813268
0.8200000000000001,23.24836147127227
0.8300000000000001,23.482500103311995
0.84,23.604542869892974
0.85,23.715123814008283
0.86,23.80467094374401
0.87,24.141902182974015
0.88,24.594280136122265
0.89,25.14352770924147
0.9,25.24009388656626
0.91,25.419357006031305
0.92,25.786825471421963
0.93,26.27784906666287
0.9400000000000001,27.308627438146868
0.9500000000000001,29.18490876248351
0.96,30.21085687969255
0.97,31.36926879126347
0.98,33.422004551339334
0.99,38.906921897554646
1.0,41.71037899122478
