batch_id,request_id,slo_type,slo_remaining_ms,only_in_queue,added_in_last_batch,request_type_after_batch,kv_context_len_tokens,prefill_len_tokens,prefill_remaining_tokens,TBT SLO,TTC SLO,replica
1229,47,TTFT,0,True,False,prefill,512,1410,898,1.000000,10.000000,0
1229,48,TTFT,0,True,False,prefill,512,5903,5391,1.000000,10.000000,0
1229,49,TTFT,0,True,False,prefill,512,24143,23631,1.000000,10.000000,0
1229,50,TTFT,0,True,False,prefill,512,38895,38383,1.000000,10.000000,0
1229,51,TTFT,0,True,False,prefill,512,8055,7543,1.000000,10.000000,0
1229,52,TTFT,0,True,False,prefill,512,9486,8974,1.000000,10.000000,0
1229,53,TTFT,0,True,False,prefill,512,24758,24246,1.000000,10.000000,0
1229,54,TTFT,0,True,False,prefill,512,16273,15761,1.000000,10.000000,0
1229,55,TTFT,0,True,False,prefill,512,28213,27701,1.000000,10.000000,0
1229,56,TTFT,0,True,False,prefill,512,11553,11041,1.000000,10.000000,0
1229,57,TTFT,0,True,False,prefill,512,5348,4836,1.000000,10.000000,0
1229,58,TTFT,0,True,False,prefill,512,2862,2350,1.000000,10.000000,0
1229,59,TTFT,0,True,False,prefill,512,1446,934,1.000000,10.000000,0
1229,60,TTFT,0,True,False,prefill,512,14593,14081,1.000000,10.000000,0
1229,61,TTFT,0,True,False,prefill,512,8447,7935,1.000000,10.000000,0
1229,62,TTFT,0,True,False,prefill,512,14398,13886,1.000000,10.000000,0
1229,63,TTFT,0,True,False,prefill,512,1410,898,1.000000,10.000000,0
1229,64,TTFT,0,True,False,prefill,512,20206,19694,1.000000,10.000000,0
1229,65,TTFT,0,True,False,prefill,512,3696,3184,1.000000,10.000000,0
1229,66,TTFT,0,True,False,prefill,512,3163,2651,1.000000,10.000000,0
1229,67,TTFT,0,True,False,prefill,512,23655,23143,1.000000,10.000000,0
1229,68,TTFT,0,True,False,prefill,512,6434,5922,1.000000,10.000000,0
1229,69,TTFT,0,True,False,prefill,512,8941,8429,1.000000,10.000000,0
1229,70,TTFT,0,True,False,prefill,512,8864,8352,1.000000,10.000000,0
1229,71,TTFT,0,True,False,prefill,512,12671,12159,1.000000,10.000000,0
1229,72,TTFT,0,True,False,prefill,512,28726,28214,1.000000,10.000000,0
1229,73,TTFT,0,True,False,prefill,512,27403,26891,1.000000,10.000000,0
1229,74,TTFT,0,True,False,prefill,512,2645,2133,1.000000,10.000000,0
1229,75,TTFT,0,True,False,prefill,512,36934,36422,1.000000,10.000000,0
1229,76,TTFT,0,True,False,prefill,512,1936,1424,1.000000,10.000000,0
1229,77,TTFT,0,True,False,prefill,512,18604,18092,1.000000,10.000000,0
1229,78,TTFT,0,True,False,prefill,512,35638,35126,1.000000,10.000000,0
1229,79,TTFT,0,True,False,prefill,512,1466,954,1.000000,10.000000,0
1229,80,TTFT,0,True,False,prefill,512,16364,15852,1.000000,10.000000,0
1229,81,TTFT,0,True,False,prefill,512,9754,9242,1.000000,10.000000,0
1230,12,TBT,0,False,True,decode,7312,6836,0,1.000000,10.000000,0
1230,17,TBT,0,False,True,decode,13776,13358,0,1.000000,10.000000,0
1230,18,TBT,0,False,True,decode,21392,21018,0,1.000000,10.000000,0
1230,20,TBT,0,False,True,decode,27152,26865,0,1.000000,10.000000,0
1230,21,TBT,0,False,True,decode,6848,6571,0,1.000000,10.000000,0
1230,22,TBT,0,False,True,decode,6736,6466,0,1.000000,10.000000,0
1230,23,TBT,0,False,True,decode,12096,11851,0,1.000000,10.000000,0
1230,25,TBT,0,False,True,decode,46560,46434,0,1.000000,10.000000,0
1230,27,TBT,0,False,True,decode,6336,6222,0,1.000000,10.000000,0
1230,29,TBT,0,False,True,decode,10944,10867,0,1.000000,10.000000,0
1230,30,TBT,0,False,True,decode,2064,1989,0,1.000000,10.000000,0
1230,31,TBT,0,False,True,decode,15920,15878,0,1.000000,10.000000,0
1230,32,TBT,0,False,True,decode,4352,4318,0,1.000000,10.000000,0
1230,34,TTFT,0,False,True,prefill,11424,26668,15244,1.000000,10.000000,0
1230,35,TTFT,0,True,False,prefill,512,17147,16635,1.000000,10.000000,0
1230,36,TTFT,0,True,False,prefill,512,2805,2293,1.000000,10.000000,0
1230,37,TTFT,0,True,False,prefill,512,1622,1110,1.000000,10.000000,0
1230,38,TTFT,0,True,False,prefill,512,4140,3628,1.000000,10.000000,0
1230,39,TTFT,0,True,False,prefill,512,2550,2038,1.000000,10.000000,0
1230,40,TTFT,0,True,False,prefill,512,2414,1902,1.000000,10.000000,0
1230,41,TTFT,0,True,False,prefill,512,14553,14041,1.000000,10.000000,0
1230,42,TTFT,0,True,False,prefill,512,12607,12095,1.000000,10.000000,0
1230,43,TTFT,0,True,False,prefill,512,1578,1066,1.000000,10.000000,0
1230,44,TTFT,0,True,False,prefill,512,10127,9615,1.000000,10.000000,0
1230,45,TTFT,0,True,False,prefill,512,20488,19976,1.000000,10.000000,0
1230,46,TTFT,0,True,False,prefill,512,7037,6525,1.000000,10.000000,0
1230,47,TTFT,0,True,False,prefill,512,1410,898,1.000000,10.000000,0
1230,48,TTFT,0,True,False,prefill,512,5903,5391,1.000000,10.000000,0
1230,49,TTFT,0,True,False,prefill,512,24143,23631,1.000000,10.000000,0
1230,50,TTFT,0,True,False,prefill,512,38895,38383,1.000000,10.000000,0
1230,51,TTFT,0,True,False,prefill,512,8055,7543,1.000000,10.000000,0
1230,52,TTFT,0,True,False,prefill,512,9486,8974,1.000000,10.000000,0
1230,53,TTFT,0,True,False,prefill,512,24758,24246,1.000000,10.000000,0
1230,54,TTFT,0,True,False,prefill,512,16273,15761,1.000000,10.000000,0
1230,55,TTFT,0,True,False,prefill,512,28213,27701,1.000000,10.000000,0
1230,56,TTFT,0,True,False,prefill,512,11553,11041,1.000000,10.000000,0
1230,57,TTFT,0,True,False,prefill,512,5348,4836,1.000000,10.000000,0
1230,58,TTFT,0,True,False,prefill,512,2862,2350,1.000000,10.000000,0
1230,59,TTFT,0,True,False,prefill,512,1446,934,1.000000,10.000000,0
1230,60,TTFT,0,True,False,prefill,512,14593,14081,1.000000,10.000000,0
1230,61,TTFT,0,True,False,prefill,512,8447,7935,1.000000,10.000000,0
1230,62,TTFT,0,True,False,prefill,512,14398,13886,1.000000,10.000000,0
1230,63,TTFT,0,True,False,prefill,512,1410,898,1.000000,10.000000,0
1230,64,TTFT,0,True,False,prefill,512,20206,19694,1.000000,10.000000,0
1230,65,TTFT,0,True,False,prefill,512,3696,3184,1.000000,10.000000,0
1230,66,TTFT,0,True,False,prefill,512,3163,2651,1.000000,10.000000,0
1230,67,TTFT,0,True,False,prefill,512,23655,23143,1.000000,10.000000,0
1230,68,TTFT,0,True,False,prefill,512,6434,5922,1.000000,10.000000,0
1230,69,TTFT,0,True,False,prefill,512,8941,8429,1.000000,10.000000,0
1230,70,TTFT,0,True,False,prefill,512,8864,8352,1.000000,10.000000,0
1230,71,TTFT,0,True,False,prefill,512,12671,12159,1.000000,10.000000,0
1230,72,TTFT,0,True,False,prefill,512,28726,28214,1.000000,10.000000,0
1230,73,TTFT,0,True,False,prefill,512,27403,26891,1.000000,10.000000,0
1230,74,TTFT,0,True,False,prefill,512,2645,2133,1.000000,10.000000,0
1230,75,TTFT,0,True,False,prefill,512,36934,36422,1.000000,10.000000,0
1230,76,TTFT,0,True,False,prefill,512,1936,1424,1.000000,10.000000,0
1230,77,TTFT,0,True,False,prefill,512,18604,18092,1.000000,10.000000,0
1230,78,TTFT,0,True,False,prefill,512,35638,35126,1.000000,10.000000,0
1230,79,TTFT,0,True,False,prefill,512,1466,954,1.000000,10.000000,0
1230,80,TTFT,0,True,False,prefill,512,16364,15852,1.000000,10.000000,0
1230,81,TTFT,0,True,False,prefill,512,9754,9242,1.000000,10.000000,0
1231,12,TBT,0,False,True,decode,7312,6836,0,1.000000,10.000000,0
1231,17,TBT,0,False,True,decode,13776,13358,0,1.000000,10.000000,0
1231,18,TBT,0,False,True,decode,21392,21018,0,1.000000,10.000000,0
1231,20,TBT,0,False,True,decode,27152,26865,0,1.000000,10.000000,0
1231,21,TBT,0,False,True,decode,6848,6571,0,1.000000,10.000000,0
1231,22,TBT,0,False,True,decode,6736,6466,0,1.000000,10.000000,0
1231,23,TBT,0,False,True,decode,12096,11851,0,1.000000,10.000000,0
1231,25,TBT,0,False,True,decode,46560,46434,0,1.000000,10.000000,0
1231,27,TBT,0,False,True,decode,6336,6222,0,1.000000,10.000000,0
1231,29,TBT,0,False,True,decode,10944,10867,0,1.000000,10.000000,0
1231,30,TBT,0,False,True,decode,2064,1989,0,1.000000,10.000000,0
1231,31,TBT,0,False,True,decode,15920,15878,0,1.000000,10.000000,0
1231,32,TBT,0,False,True,decode,4352,4318,0,1.000000,10.000000,0
1231,34,TTFT,0,False,True,prefill,11920,26668,14748,1.000000,10.000000,0
1231,35,TTFT,0,True,False,prefill,512,17147,16635,1.000000,10.000000,0
1231,36,TTFT,0,True,False,prefill,512,2805,2293,1.000000,10.000000,0
1231,37,TTFT,0,True,False,prefill,512,1622,1110,1.000000,10.000000,0
1231,38,TTFT,0,True,False,prefill,512,4140,3628,1.000000,10.000000,0
1231,39,TTFT,0,True,False,prefill,512,2550,2038,1.000000,10.000000,0
1231,40,TTFT,0,True,False,prefill,512,2414,1902,1.000000,10.000000,0
1231,41,TTFT,0,True,False,prefill,512,14553,14041,1.000000,10.000000,0
1231,42,TTFT,0,True,False,prefill,512,12607,12095,1.000000,10.000000,0
1231,43,TTFT,0,True,False,prefill,512,1578,1066,1.000000,10.000000,0
1231,44,TTFT,0,True,False,prefill,512,10127,9615,1.000000,10.000000,0
1231,45,TTFT,0,True,False,prefill,512,20488,19976,1.000000,10.000000,0
1231,46,TTFT,0,True,False,prefill,512,7037,6525,1.000000,10.000000,0
1231,47,TTFT,0,True,False,prefill,512,1410,898,1.000000,10.000000,0
1231,48,TTFT,0,True,False,prefill,512,5903,5391,1.000000,10.000000,0
1231,49,TTFT,0,True,False,prefill,512,24143,23631,1.000000,10.000000,0
1231,50,TTFT,0,True,False,prefill,512,38895,38383,1.000000,10.000000,0
1231,51,TTFT,0,True,False,prefill,512,8055,7543,1.000000,10.000000,0
1231,52,TTFT,0,True,False,prefill,512,9486,8974,1.000000,10.000000,0
1231,53,TTFT,0,True,False,prefill,512,24758,24246,1.000000,10.000000,0
1231,54,TTFT,0,True,False,prefill,512,16273,15761,1.000000,10.000000,0
1231,55,TTFT,0,True,False,prefill,512,28213,27701,1.000000,10.000000,0
1231,56,TTFT,0,True,False,prefill,512,11553,11041,1.000000,10.000000,0
1231,57,TTFT,0,True,False,prefill,512,5348,4836,1.000000,10.000000,0
1231,58,TTFT,0,True,False,prefill,512,2862,2350,1.000000,10.000000,0
1231,59,TTFT,0,True,False,prefill,512,1446,934,1.000000,10.000000,0
1231,60,TTFT,0,True,False,prefill,512,14593,14081,1.000000,10.000000,0
1231,61,TTFT,0,True,False,prefill,512,8447,7935,1.000000,10.000000,0
1231,62,TTFT,0,True,False,prefill,512,14398,13886,1.000000,10.000000,0
1231,63,TTFT,0,True,False,prefill,512,1410,898,1.000000,10.000000,0
1231,64,TTFT,0,True,False,prefill,512,20206,19694,1.000000,10.000000,0
1231,65,TTFT,0,True,False,prefill,512,3696,3184,1.000000,10.000000,0
1231,66,TTFT,0,True,False,prefill,512,3163,2651,1.000000,10.000000,0
1231,67,TTFT,0,True,False,prefill,512,23655,23143,1.000000,10.000000,0
1231,68,TTFT,0,True,False,prefill,512,6434,5922,1.000000,10.000000,0
1231,69,TTFT,0,True,False,prefill,512,8941,8429,1.000000,10.000000,0
1231,70,TTFT,0,True,False,prefill,512,8864,8352,1.000000,10.000000,0
1231,71,TTFT,0,True,False,prefill,512,12671,12159,1.000000,10.000000,0
1231,72,TTFT,0,True,False,prefill,512,28726,28214,1.000000,10.000000,0
1231,73,TTFT,0,True,False,prefill,512,27403,26891,1.000000,10.000000,0
1231,74,TTFT,0,True,False,prefill,512,2645,2133,1.000000,10.000000,0
1231,75,TTFT,0,True,False,prefill,512,36934,36422,1.000000,10.000000,0
1231,76,TTFT,0,True,False,prefill,512,1936,1424,1.000000,10.000000,0
1231,77,TTFT,0,True,False,prefill,512,18604,18092,1.000000,10.000000,0
1231,78,TTFT,0,True,False,prefill,512,35638,35126,1.000000,10.000000,0
1231,79,TTFT,0,True,False,prefill,512,1466,954,1.000000,10.000000,0
1231,80,TTFT,0,True,False,prefill,512,16364,15852,1.000000,10.000000,0
1231,81,TTFT,0,True,False,prefill,512,9754,9242,1.000000,10.000000,0
1232,12,TBT,0,False,True,decode,7328,6836,0,1.000000,10.000000,0
1232,17,TBT,0,False,True,decode,13776,13358,0,1.000000,10.000000,0
1232,18,TBT,0,False,True,decode,21392,21018,0,1.000000,10.000000,0
1232,20,TBT,0,False,True,decode,27152,26865,0,1.000000,10.000000,0
1232,21,TBT,0,False,True,decode,6848,6571,0,1.000000,10.000000,0
1232,22,TBT,0,False,True,decode,6736,6466,0,1.000000,10.000000,0
1232,23,TBT,0,False,True,decode,12096,11851,0,1.000000,10.000000,0
1232,25,TBT,0,False,True,decode,46560,46434,0,1.000000,10.000000,0
1232,27,TBT,0,False,True,decode,6336,6222,0,1.000000,10.000000,0
1232,29,TBT,0,False,True,decode,10944,10867,0,1.000000,10.000000,0
1232,30,TBT,0,False,True,decode,2064,1989,0,1.000000,10.000000,0
1232,31,TBT,0,False,True,decode,15920,15878,0,1.000000,10.000000,0
1232,32,TBT,0,False,True,decode,4352,4318,0,1.000000,10.000000,0
1232,34,TTFT,0,False,True,prefill,12416,26668,14252,1.000000,10.000000,0
1232,35,TTFT,0,True,False,prefill,512,17147,16635,1.000000,10.000000,0
1232,36,TTFT,0,True,False,prefill,512,2805,2293,1.000000,10.000000,0
1232,37,TTFT,0,True,False,prefill,512,1622,1110,1.000000,10.000000,0
1232,38,TTFT,0,True,False,prefill,512,4140,3628,1.000000,10.000000,0
1232,39,TTFT,0,True,False,prefill,512,2550,2038,1.000000,10.000000,0
1232,40,TTFT,0,True,False,prefill,512,2414,1902,1.000000,10.000000,0
1232,41,TTFT,0,True,False,prefill,512,14553,14041,1.000000,10.000000,0
1232,42,TTFT,0,True,False,prefill,512,12607,12095,1.000000,10.000000,0
1232,43,TTFT,0,True,False,prefill,512,1578,1066,1.000000,10.000000,0
1232,44,TTFT,0,True,False,prefill,512,10127,9615,1.000000,10.000000,0
1232,45,TTFT,0,True,False,prefill,512,20488,19976,1.000000,10.000000,0
1232,46,TTFT,0,True,False,prefill,512,7037,6525,1.000000,10.000000,0
1232,47,TTFT,0,True,False,prefill,512,1410,898,1.000000,10.000000,0
1232,48,TTFT,0,True,False,prefill,512,5903,5391,1.000000,10.000000,0
1232,49,TTFT,0,True,False,prefill,512,24143,23631,1.000000,10.000000,0
1232,50,TTFT,0,True,False,prefill,512,38895,38383,1.000000,10.000000,0
1232,51,TTFT,0,True,False,prefill,512,8055,7543,1.000000,10.000000,0
1232,52,TTFT,0,True,False,prefill,512,9486,8974,1.000000,10.000000,0
1232,53,TTFT,0,True,False,prefill,512,24758,24246,1.000000,10.000000,0
1232,54,TTFT,0,True,False,prefill,512,16273,15761,1.000000,10.000000,0
1232,55,TTFT,0,True,False,prefill,512,28213,27701,1.000000,10.000000,0
1232,56,TTFT,0,True,False,prefill,512,11553,11041,1.000000,10.000000,0
1232,57,TTFT,0,True,False,prefill,512,5348,4836,1.000000,10.000000,0
1232,58,TTFT,0,True,False,prefill,512,2862,2350,1.000000,10.000000,0
1232,59,TTFT,0,True,False,prefill,512,1446,934,1.000000,10.000000,0
1232,60,TTFT,0,True,False,prefill,512,14593,14081,1.000000,10.000000,0
1232,61,TTFT,0,True,False,prefill,512,8447,7935,1.000000,10.000000,0
1232,62,TTFT,0,True,False,prefill,512,14398,13886,1.000000,10.000000,0
1232,63,TTFT,0,True,False,prefill,512,1410,898,1.000000,10.000000,0
1232,64,TTFT,0,True,False,prefill,512,20206,19694,1.000000,10.000000,0
1232,65,TTFT,0,True,False,prefill,512,3696,3184,1.000000,10.000000,0
1232,66,TTFT,0,True,False,prefill,512,3163,2651,1.000000,10.000000,0
1232,67,TTFT,0,True,False,prefill,512,23655,23143,1.000000,10.000000,0
1232,68,TTFT,0,True,False,prefill,512,6434,5922,1.000000,10.000000,0
1232,69,TTFT,0,True,False,prefill,512,8941,8429,1.000000,10.000000,0
1232,70,TTFT,0,True,False,prefill,512,8864,8352,1.000000,10.000000,0
1232,71,TTFT,0,True,False,prefill,512,12671,12159,1.000000,10.000000,0
1232,72,TTFT,0,True,False,prefill,512,28726,28214,1.000000,10.000000,0
1232,73,TTFT,0,True,False,prefill,512,27403,26891,1.000000,10.000000,0
1232,74,TTFT,0,True,False,prefill,512,2645,2133,1.000000,10.000000,0
1232,75,TTFT,0,True,False,prefill,512,36934,36422,1.000000,10.000000,0
1232,76,TTFT,0,True,False,prefill,512,1936,1424,1.000000,10.000000,0
1232,77,TTFT,0,True,False,prefill,512,18604,18092,1.000000,10.000000,0
1232,78,TTFT,0,True,False,prefill,512,35638,35126,1.000000,10.000000,0
1232,79,TTFT,0,True,False,prefill,512,1466,954,1.000000,10.000000,0
1232,80,TTFT,0,True,False,prefill,512,16364,15852,1.000000,10.000000,0
1232,81,TTFT,0,True,False,prefill,512,9754,9242,1.000000,10.000000,0
1233,12,TBT,0,False,True,decode,7328,6836,0,1.000000,10.000000,0
1233,17,TBT,0,False,True,decode,13776,13358,0,1.000000,10.000000,0
1233,18,TBT,0,False,True,decode,21392,21018,0,1.000000,10.000000,0
1233,20,TBT,0,False,True,decode,27152,26865,0,1.000000,10.000000,0
1233,21,TBT,0,False,True,decode,6848,6571,0,1.000000,10.000000,0
1233,22,TBT,0,False,True,decode,6736,6466,0,1.000000,10.000000,0
1233,23,TBT,0,False,True,decode,12096,11851,0,1.000000,10.000000,0
1233,25,TBT,0,False,True,decode,46560,46434,0,1.000000,10.000000,0
1233,27,TBT,0,False,True,decode,6336,6222,0,1.000000,10.000000,0
1233,29,TBT,0,False,True,decode,10944,10867,0,1.000000,10.000000,0
1233,30,TBT,0,False,True,decode,2064,1989,0,1.000000,10.000000,0
1233,31,TBT,0,False,True,decode,15920,15878,0,1.000000,10.000000,0
1233,32,TBT,0,False,True,decode,4352,4318,0,1.000000,10.000000,0
1233,34,TTFT,0,False,True,prefill,12912,26668,13756,1.000000,10.000000,0
1233,35,TTFT,0,True,False,prefill,512,17147,16635,1.000000,10.000000,0
1233,36,TTFT,0,True,False,prefill,512,2805,2293,1.000000,10.000000,0
1233,37,TTFT,0,True,False,prefill,512,1622,1110,1.000000,10.000000,0
1233,38,TTFT,0,True,False,prefill,512,4140,3628,1.000000,10.000000,0
1233,39,TTFT,0,True,False,prefill,512,2550,2038,1.000000,10.000000,0
1233,40,TTFT,0,True,False,prefill,512,2414,1902,1.000000,10.000000,0
1233,41,TTFT,0,True,False,prefill,512,14553,14041,1.000000,10.000000,0
1233,42,TTFT,0,True,False,prefill,512,12607,12095,1.000000,10.000000,0
1233,43,TTFT,0,True,False,prefill,512,1578,1066,1.000000,10.000000,0
1233,44,TTFT,0,True,False,prefill,512,10127,9615,1.000000,10.000000,0
1233,45,TTFT,0,True,False,prefill,512,20488,19976,1.000000,10.000000,0
1233,46,TTFT,0,True,False,prefill,512,7037,6525,1.000000,10.000000,0
1233,47,TTFT,0,True,False,prefill,512,1410,898,1.000000,10.000000,0
1233,48,TTFT,0,True,False,prefill,512,5903,5391,1.000000,10.000000,0
1233,49,TTFT,0,True,False,prefill,512,24143,23631,1.000000,10.000000,0
1233,50,TTFT,0,True,False,prefill,512,38895,38383,1.000000,10.000000,0
1233,51,TTFT,0,True,False,prefill,512,8055,7543,1.000000,10.000000,0
1233,52,TTFT,0,True,False,prefill,512,9486,8974,1.000000,10.000000,0
1233,53,TTFT,0,True,False,prefill,512,24758,24246,1.000000,10.000000,0
1233,54,TTFT,0,True,False,prefill,512,16273,15761,1.000000,10.000000,0
1233,55,TTFT,0,True,False,prefill,512,28213,27701,1.000000,10.000000,0
1233,56,TTFT,0,True,False,prefill,512,11553,11041,1.000000,10.000000,0
1233,57,TTFT,0,True,False,prefill,512,5348,4836,1.000000,10.000000,0
1233,58,TTFT,0,True,False,prefill,512,2862,2350,1.000000,10.000000,0
1233,59,TTFT,0,True,False,prefill,512,1446,934,1.000000,10.000000,0
1233,60,TTFT,0,True,False,prefill,512,14593,14081,1.000000,10.000000,0
1233,61,TTFT,0,True,False,prefill,512,8447,7935,1.000000,10.000000,0
1233,62,TTFT,0,True,False,prefill,512,14398,13886,1.000000,10.000000,0
1233,63,TTFT,0,True,False,prefill,512,1410,898,1.000000,10.000000,0
1233,64,TTFT,0,True,False,prefill,512,20206,19694,1.000000,10.000000,0
1233,65,TTFT,0,True,False,prefill,512,3696,3184,1.000000,10.000000,0
1233,66,TTFT,0,True,False,prefill,512,3163,2651,1.000000,10.000000,0
1233,67,TTFT,0,True,False,prefill,512,23655,23143,1.000000,10.000000,0
1233,68,TTFT,0,True,False,prefill,512,6434,5922,1.000000,10.000000,0
1233,69,TTFT,0,True,False,prefill,512,8941,8429,1.000000,10.000000,0
1233,70,TTFT,0,True,False,prefill,512,8864,8352,1.000000,10.000000,0
1233,71,TTFT,0,True,False,prefill,512,12671,12159,1.000000,10.000000,0
1233,72,TTFT,0,True,False,prefill,512,28726,28214,1.000000,10.000000,0
1233,73,TTFT,0,True,False,prefill,512,27403,26891,1.000000,10.000000,0
1233,74,TTFT,0,True,False,prefill,512,2645,2133,1.000000,10.000000,0
1233,75,TTFT,0,True,False,prefill,512,36934,36422,1.000000,10.000000,0
1233,76,TTFT,0,True,False,prefill,512,1936,1424,1.000000,10.000000,0
1233,77,TTFT,0,True,False,prefill,512,18604,18092,1.000000,10.000000,0
1233,78,TTFT,0,True,False,prefill,512,35638,35126,1.000000,10.000000,0
1233,79,TTFT,0,True,False,prefill,512,1466,954,1.000000,10.000000,0
1233,80,TTFT,0,True,False,prefill,512,16364,15852,1.000000,10.000000,0
1233,81,TTFT,0,True,False,prefill,512,9754,9242,1.000000,10.000000,0
1234,12,TBT,0,False,True,decode,7328,6836,0,1.000000,10.000000,0
1234,17,TBT,0,False,True,decode,13776,13358,0,1.000000,10.000000,0
1234,18,TBT,0,False,True,decode,21392,21018,0,1.000000,10.000000,0
1234,20,TBT,0,False,True,decode,27168,26865,0,1.000000,10.000000,0
1234,21,TBT,0,False,True,decode,6848,6571,0,1.000000,10.000000,0
1234,22,TBT,0,False,True,decode,6736,6466,0,1.000000,10.000000,0
1234,23,TBT,0,False,True,decode,12096,11851,0,1.000000,10.000000,0
1234,25,TBT,0,False,True,decode,46560,46434,0,1.000000,10.000000,0
1234,27,TBT,0,False,True,decode,6336,6222,0,1.000000,10.000000,0
1234,29,TBT,0,False,True,decode,10944,10867,0,1.000000,10.000000,0
1234,30,TBT,0,False,True,decode,2064,1989,0,1.000000,10.000000,0
1234,31,TBT,0,False,True,decode,15920,15878,0,1.000000,10.000000,0
1234,32,TBT,0,False,True,decode,4352,4318,0,1.000000,10.000000,0
1234,34,TTFT,0,False,True,prefill,13424,26668,13244,1.000000,10.000000,0
1234,35,TTFT,0,True,False,prefill,512,17147,16635,1.000000,10.000000,0
1234,36,TTFT,0,True,False,prefill,512,2805,2293,1.000000,10.000000,0
1234,37,TTFT,0,True,False,prefill,512,1622,1110,1.000000,10.000000,0
1234,38,TTFT,0,True,False,prefill,512,4140,3628,1.000000,10.000000,0
1234,39,TTFT,0,True,False,prefill,512,2550,2038,1.000000,10.000000,0
1234,40,TTFT,0,True,False,prefill,512,2414,1902,1.000000,10.000000,0
1234,41,TTFT,0,True,False,prefill,512,14553,14041,1.000000,10.000000,0
1234,42,TTFT,0,True,False,prefill,512,12607,12095,1.000000,10.000000,0
1234,43,TTFT,0,True,False,prefill,512,1578,1066,1.000000,10.000000,0
1234,44,TTFT,0,True,False,prefill,512,10127,9615,1.000000,10.000000,0
1234,45,TTFT,0,True,False,prefill,512,20488,19976,1.000000,10.000000,0
1234,46,TTFT,0,True,False,prefill,512,7037,6525,1.000000,10.000000,0
1234,47,TTFT,0,True,False,prefill,512,1410,898,1.000000,10.000000,0
1234,48,TTFT,0,True,False,prefill,512,5903,5391,1.000000,10.000000,0
1234,49,TTFT,0,True,False,prefill,512,24143,23631,1.000000,10.000000,0
1234,50,TTFT,0,True,False,prefill,512,38895,38383,1.000000,10.000000,0
1234,51,TTFT,0,True,False,prefill,512,8055,7543,1.000000,10.000000,0
1234,52,TTFT,0,True,False,prefill,512,9486,8974,1.000000,10.000000,0
1234,53,TTFT,0,True,False,prefill,512,24758,24246,1.000000,10.000000,0
1234,54,TTFT,0,True,False,prefill,512,16273,15761,1.000000,10.000000,0
1234,55,TTFT,0,True,False,prefill,512,28213,27701,1.000000,10.000000,0
