prefill_tokens,samples,observed_median_s,observed_mean_s,observed_min_s,observed_max_s,profile_s,median_absolute_error_s,median_relative_error,ratio_observed_to_profile
128,5,0.016672881989507005,0.03397021319833584,0.01652704001753591,0.10330763799720444,0.015725797204323228,0.0009470847851837765,0.060224914061807334,1.0602249140618074
256,5,0.023105725005734712,0.02336978300008923,0.023004562011919916,0.024347981001483276,0.023274675327417962,-0.00016895032168325053,-0.007258976518749724,0.9927410234812503
512,5,0.03946498001459986,0.03925801241421141,0.037538556003710255,0.04025500200805254,0.03888623299112536,0.0005787470234744976,0.01488308275081774,1.0148830827508177
1024,5,0.07701455597998574,0.07760089579387568,0.07687657498172484,0.07862739599659108,0.09850190759874299,-0.02148735161875724,-0.2181414770796931,0.7818585229203069
2048,5,0.1431278869858943,0.1433702595939394,0.14221157800056972,0.14478542300639674,0.19613847773632437,-0.053010590750430076,-0.270271245918886,0.7297287540811139
3072,5,0.2089275209873449,0.20978182979742996,0.20861156500177458,0.21130143702612258,0.28408680179190937,-0.07515928080456447,-0.2645644934241537,0.7354355065758463
4096,5,0.2844568170257844,0.28421261000912634,0.283224387007067,0.2853361919987947,0.38669262762929524,-0.10223581060351083,-0.2643852075233244,0.7356147924766756
