cdf,prefill_e2e_time
0.0,0.1269692007504024
0.01,0.27902400643152186
0.02,0.3692550588743731
0.03,0.40086829789519557
0.04,0.5157376763037945
0.05,1.8567527270769963
0.06,2.859457064774683
0.07,3.729909887340924
0.08,5.60411203262418
0.09,12.062244321928738
0.1,12.176153655300626
0.11,12.541092291193381
0.12,12.812329813256133
0.13,12.92870336075081
0.14,13.317622476993108
0.15,13.762435255878222
0.16,13.989200645084093
0.17,14.109156934469306
0.18,15.075371828314132
0.19,15.585580360118652
0.2,17.23542968048168
0.21,17.446406714541585
0.22,17.657313108376428
0.23,17.802831748657844
0.24,17.942432939908695
0.25,18.235146706452287
0.26,18.389236898928235
0.27,19.06344712398934
0.28,19.199084466662892
0.29,19.302637170957127
0.3,19.339345032210232
0.31,19.405906397013812
0.32,19.481595525158593
0.33,19.597583020851147
0.34,19.648377665801906
0.35000000000000003,19.792952790952224
0.36,19.894628952303755
0.37,20.05854659412732
0.38,20.352583963890385
0.39,22.63740434649664
0.4,24.24203375120836
0.41000000000000003,24.590802490654195
0.42,25.6648726478152
0.43,26.797886813506416
0.44,27.538174867314638
0.45,27.618681630801575
0.46,27.660792229204187
0.47000000000000003,27.85948974536197
0.48,27.984521703534448
0.49,28.160244101544205
0.5,28.362054251036042
0.51,28.575355833400554
0.52,28.75394692287556
0.53,29.76592909728898
0.54,30.08838243483754
0.55,30.49055517101657
0.56,31.185438086669766
0.5700000000000001,32.901520450864794
0.58,34.07263814789239
0.59,36.54285246316634
0.6,36.93075714837791
0.61,38.09939529846807
0.62,39.28210837360286
0.63,39.636984051039605
0.64,39.65863233206063
0.65,40.226509222092716
0.66,41.04369267845496
0.67,41.36714177464016
0.68,42.755281722979106
0.6900000000000001,44.91487478441858
0.7000000000000001,45.556455552045584
0.71,50.03036058677518
0.72,50.94844003589705
0.73,52.963669045454516
0.74,54.486216838078725
0.75,63.71747180245994
0.76,71.25863320865422
0.77,77.19295857691091
0.78,77.6594384700441
0.79,77.81536517386542
0.8,78.06438773759416
0.81,78.45567824972514
0.8200000000000001,79.05391933917083
0.8300000000000001,79.23236625118291
0.84,79.33519032764853
0.85,79.59177470732749
0.86,80.20690700748432
0.87,80.34993384279835
0.88,80.54033934694608
0.89,80.93178957501952
0.9,81.12215151458804
0.91,81.21336038370687
0.92,81.72372865961906
0.93,82.85763452357907
0.9400000000000001,91.16292935380378
0.9500000000000001,91.37302967213189
0.96,91.98962476935525
0.97,98.80844115373193
0.98,99.09374663759837
0.99,99.22586826592199
1.0,99.50529094928939
