cdf,request_scheduling_delay
0.0,0.0
0.01,0.0020555632569532276
0.02,0.00687954028994759
0.03,0.0076647633899865975
0.04,0.04864379365682451
0.05,0.2724153496341531
0.06,1.759043389424241
0.07,2.6941514547865264
0.08,3.1211933173448747
0.09,7.049385603069359
0.1,11.825345802295997
0.11,11.95946464441095
0.12,12.040039283146319
0.13,12.127423817590273
0.14,12.28064017926152
0.15,12.889920619984602
0.16,12.982806383897984
0.17,13.16844958504779
0.18,13.73375860142452
0.19,13.976665344080761
0.2,15.472138235258653
0.21,16.742186911598708
0.22,16.992030957422244
0.23,17.268495019712113
0.24,17.580390497695973
0.25,17.64811439942949
0.26,17.72116577313626
0.27,17.949167776277985
0.28,18.288347736295652
0.29,18.40662011875246
0.3,18.696289484016486
0.31,18.976047167039933
0.32,19.120446081627204
0.33,19.24159679659193
0.34,19.272797864954846
0.35000000000000003,19.32456334040614
0.36,19.48219011311515
0.37,19.69603724545844
0.38,19.819351986968748
0.39,20.427508464383006
0.4,23.131878418938086
0.41000000000000003,23.73895152859454
0.42,24.30804786236894
0.43,25.046163561216225
0.44,26.758446003616974
0.45,27.070791952049188
0.46,27.315914348386723
0.47000000000000003,27.44127892898018
0.48,27.531735698578895
0.49,27.64622584874131
0.5,27.765094320260836
0.51,27.97383208269189
0.52,28.07246978120082
0.53,28.716173068748116
0.54,29.636204249200105
0.55,29.965902621941158
0.56,30.07745939541185
0.5700000000000001,30.935193365528097
0.58,33.259558035744256
0.59,33.94249094026937
0.6,36.24645462991344
0.61,36.74500763685116
0.62,37.98726890436386
0.63,38.80180840271085
0.64,38.91013101101099
0.65,39.327597650143176
0.66,40.426236602165226
0.67,40.99724613125159
0.68,41.04908394387161
0.6900000000000001,43.18242274125152
0.7000000000000001,44.701870321611906
0.71,46.13252380607432
0.72,49.651704624651025
0.73,50.955959749470374
0.74,53.26090094328155
0.75,56.22355513432078
0.76,63.970203956265024
0.77,74.35730010296126
0.78,76.91070098253809
0.79,77.08254277005165
0.8,77.2284528285808
0.81,77.52797133568849
0.8200000000000001,77.70232278206429
0.8300000000000001,78.22538220471667
0.84,78.8305023039359
0.85,79.07673937540392
0.86,79.19624891725447
0.87,79.39550116970005
0.88,79.55178920581332
0.89,80.2146566307909
0.9,80.32583881303897
0.91,80.41677241764502
0.92,80.63367048023052
0.93,81.02862899563587
0.9400000000000001,85.0912911742907
0.9500000000000001,90.8344053358032
0.96,91.00941602525872
0.97,93.0466596963809
0.98,98.81642287861021
0.99,99.03257193427
1.0,99.12980863104113
