Time (sec),request_arrival
0.7435129116008261,1
1.0324217675999647,2
2.0104956750793237,3
2.608114589617283,4
2.6575704597776353,5
4.157570459777635,6
4.873508672332393,7
5.644548572865102,8
5.713096660998057,9
6.0123661371633865,10
6.244017621001748,11
7.551058459973338,12
8.067281331827164,13
8.932411149264562,14
9.225378119337691,15
9.354270670921856,16
9.758644855403215,17
9.791617146581364,18
10.670676521142838,19
11.170056919886665,20
11.879647010338326,21
12.098532159831068,22
13.598532159831068,23
14.716561690161875,24
15.469965117758418,25
15.578197263821885,26
15.892552537122327,27
15.914948597663308,28
15.998737681233877,29
16.57324165306499,30
17.256021376369183,31
18.756021376369183,32
18.953154420908692,33
19.184537129943827,34
19.501557395697063,35
19.606591696241427,36
19.676177620066973,37
19.999027937698493,38
20.12770742053224,39
20.68175698595062,40
20.96912974864784,41
21.863047924186006,42
22.465476358354117,43
22.652726104394507,44
23.54539557110589,45
24.362169584546173,46
24.607255103368022,47
24.777324250321588,48
25.350955900342043,49
25.42622346103567,50
25.537737866531177,51
25.54143261903961,52
26.314486689580395,53
26.86107651059448,54
27.47174685327115,55
28.230470359632392,56
28.537560524297092,57
28.958083972128723,58
29.033377406579184,59
29.09419579885162,60
29.64611319264049,61
29.964587556554413,62
30.38106364093856,63
31.105146092333726,64
31.608689340834367,65
32.01193620258452,66
32.42152633566483,67
32.602693297180835,68
32.61834464294981,69
32.90533154487202,70
33.02610285582302,71
33.288673866976126,72
34.24870809366582,73
34.381955149758866,74
34.411990868706624,75
34.57720486309464,76
34.75098725961854,77
35.29321846769286,78
35.70034751280258,79
36.46635037688576,80
37.01213923209379,81
37.272902958934445,82
38.11396206206124,83
38.20530662617589,84
38.21679360881255,85
38.263975246369206,86
38.904689061119484,87
39.21452333526672,88
39.302457613813864,89
39.650077072275174,90
39.73269845056917,91
40.328589449904065,92
40.624025808855194,93
40.863867957771674,94
41.043286661638284,95
41.540794826811926,96
41.765356489260256,97
41.81122224034243,98
41.874007197714604,99
43.374007197714604,100
44.570156478429524,101
45.17165500837381,102
45.32618955929144,103
46.82618955929144,104
47.58042259970322,105
48.21138281591704,106
48.50972120036298,107
48.6686142511479,108
48.719293497345305,109
49.88377033424994,110
50.18796777661762,111
50.301018841411604,112
50.48362925101391,113
50.916451312403645,114
51.01371282865153,115
51.98482131160462,116
52.695304650625836,117
53.33082939982238,118
53.61372823787189,119
54.10723083460774,120
54.54588360893271,121
55.070575578554674,122
55.114687627923445,123
55.38344990778304,124
55.40470232819217,125
55.74530256122904,126
55.945437782367485,127
56.02348651266059,128
