cdf,decode_time_execution_plus_preemption_normalized
0.0,0.0
0.01,0.0014071073071670172
0.02,0.007226665223836757
0.03,0.008951313060895362
0.04,0.00902696745197245
0.05,0.009729224124386968
0.06,0.013963965282871737
0.07,0.01616673025802749
0.08,0.01654674870555635
0.09,0.02024205062543577
0.1,0.02391907654648118
0.11,0.024482141661350536
0.12,0.025410563377198818
0.13,0.02653962038422548
0.14,0.027126526922043592
0.15,0.028188163488814234
0.16,0.028258346135840287
0.17,0.02861792767744857
0.18,0.02927864255581484
0.19,0.029595410790073787
0.2,0.0298918952787947
0.21,0.030102501583079568
0.22,0.030609706355250302
0.23,0.03138417726589196
0.24,0.03180902955159982
0.25,0.03200026673546559
0.26,0.032241268862992445
0.27,0.03225766082508575
0.28,0.03227916660353127
0.29,0.03252076177235797
0.3,0.03260395910097444
0.31,0.03268592181022598
0.32,0.032755155626363254
0.33,0.0327862769490404
0.34,0.03293429750465033
0.35000000000000003,0.03306678350803111
0.36,0.03327696550140384
0.37,0.03340668784280228
0.38,0.03369796495425526
0.39,0.033757029305314844
0.4,0.03383555776210249
0.41000000000000003,0.03391797161050557
0.42,0.033943911276879936
0.43,0.0339798700800454
0.44,0.033995689277754676
0.45,0.034012183403032074
0.46,0.034071779691430853
0.47000000000000003,0.034090772491830006
0.48,0.034103096231538045
0.49,0.03423739878359884
0.5,0.034284593997691036
0.51,0.03436310401967872
0.52,0.03440248233437756
0.53,0.034450555155733774
0.54,0.03446008333195187
0.55,0.034478459007348895
0.56,0.034502959878633804
0.5700000000000001,0.03458168545996971
0.58,0.03459515498112618
0.59,0.03459877934071839
0.6,0.0348101475095984
0.61,0.034889177123891224
0.62,0.03497249660269406
0.63,0.03508134612744656
0.64,0.03519942255495872
0.65,0.03533592799786314
0.66,0.03546702028427893
0.67,0.03570154832905016
0.68,0.03592296438265764
0.6900000000000001,0.03600263976151757
0.7000000000000001,0.03609335308696474
0.71,0.03631377779532451
0.72,0.03703000136410168
0.73,0.037519444624108646
0.74,0.03763403572991579
0.75,0.037815204725820666
0.76,0.038610030900236174
0.77,0.04021400445887121
0.78,0.040721725679010036
0.79,0.041087247061763796
0.8,0.04119722095197759
0.81,0.041222205853013394
0.8200000000000001,0.04130526493430316
0.8300000000000001,0.04148488086385443
0.84,0.041953076723922365
0.85,0.042294478997007126
0.86,0.04273304980885487
0.87,0.04281635586887095
0.88,0.04296246783768301
0.89,0.04308222927919966
0.9,0.04406970610326483
0.91,0.04460825108317376
0.92,0.045998450209558
0.93,0.04741998123312741
0.9400000000000001,0.0477805877623062
0.9500000000000001,0.048626761500774995
0.96,0.049300952265197255
0.97,0.05116426949102893
0.98,0.0531232522909752
0.99,0.05551620143411435
1.0,0.0566051628575745
