cdf,attn_prefill,replica
0.0,0.0,0
0.01,0.0,0
0.02,0.0,0
0.03,0.0,0
0.04,0.0,0
0.05,0.0,0
0.06,0.0,0
0.07,0.0,0
0.08,0.0,0
0.09,0.0,0
0.1,0.0,0
0.11,0.0,0
0.12,0.0,0
0.13,0.0,0
0.14,0.0,0
0.15,0.0,0
0.16,0.0,0
0.17,0.0,0
0.18,0.0,0
0.19,0.07652516222119272,0
0.2,0.07807112509434813,0
0.21,0.08980358875091662,0
0.22,0.09161780266507658,0
0.23,0.09346866736538112,0
0.24,0.10538604974443742,0
0.25,0.10751506085038566,0
0.26,0.11190298293386225,0
0.27,0.12122337752781072,0
0.28,0.12367233464958467,0
0.29,0.13397299803735366,0
0.3,0.13667952325022947,0
0.31,0.14806355481226394,0
0.32,0.15105473773776426,0
0.33,0.15721960816885347,0
0.34,0.1669418596906499,0
0.35000000000000003,0.17031442251268322,0
0.36,0.18084643994195604,0
0.37,0.18084643994195604,0
0.38,0.19202974332513717,0
0.39,0.19590913207918037,0
0.4,0.2080238923159888,0
0.41000000000000003,0.2080238923159888,0
0.42,0.22088781321742634,0
0.43,0.22535019328242487,0
0.44,0.23454722188287072,0
0.45,0.23928554959767623,0
0.46,0.24905131021792623,0
0.47000000000000003,0.2540826498182884,0
0.48,0.2592156326429002,0
0.49,0.26979478304154936,0
0.5,0.2752451826989545,0
0.51,0.2808056914403474,0
0.52,0.2864785336916676,0
0.53,0.29817034202517106,0
0.54,0.3041939852984068,0
0.55,0.31033931833473827,0
0.56,0.3230049368771212,0
0.5700000000000001,0.32953028913726506,0
0.58,0.32953028913726506,0
0.59,0.342979132689444,0
0.6,0.3499080040569076,0
0.61,0.3641885062120716,0
0.62,0.37154584977191146,0
0.63,0.38670943919225276,0
0.64,0.3945217510951265,0
0.65,0.4024918874808866,0
0.66,0.41891845160621616,0
0.67,0.4273814506285639,0
0.68,0.4448238116377901,0
0.6900000000000001,0.45381015126683644,0
0.7000000000000001,0.46297803311061086,0
0.71,0.4818731676116051,0
0.72,0.49160797907850623,0
0.73,0.5116715635730885,0
0.74,0.5325539863288519,0
0.75,0.5433126527193337,0
0.76,0.5654864167319583,0
0.77,0.5885651399941544,0
0.78,0.6125857558494407,0
0.79,0.6375867049709361,0
0.8,0.663607996878739,0
0.81,0.6770142190379053,0
0.8200000000000001,0.7046446330380239,0
0.8300000000000001,0.7334027039711133,0
0.84,0.7787553520143193,0
0.85,0.8269125475092783,0
0.86,0.8780477199413345,0
0.87,0.9323450234446051,0
0.88,0.9900000000000001,0
0.89,1.0512202836445261,0
0.9,1.1162263482279575,0
0.91,1.2091967923473563,0
0.92,1.3099107407241846,0
0.93,1.4190131494921128,0
0.9400000000000001,1.5067630358630413,0
0.9500000000000001,1.632261263753172,0
0.96,1.7331981299642243,0
0.97,1.8775561270187588,0
0.98,2.0339376953853785,0
0.99,2.3395961582549134,0
1.0,2.9153377121207424,0
