cdf,attn_prefill,replica
0.0,0.0,0
0.01,0.0,0
0.02,0.0,0
0.03,0.0,0
0.04,0.0,0
0.05,0.0,0
0.06,0.0,0
0.07,0.0,0
0.08,0.0,0
0.09,0.0,0
0.1,0.0,0
0.11,0.0,0
0.12,0.0,0
0.13,0.0,0
0.14,0.0,0
0.15,0.0,0
0.16,0.0,0
0.17,0.0,0
0.18,0.0,0
0.19,0.0,0
0.2,0.0,0
0.21,0.0,0
0.22,0.0,0
0.23,0.0,0
0.24,0.0,0
0.25,0.0,0
0.26,0.0,0
0.27,0.0,0
0.28,0.0,0
0.29,0.0,0
0.3,0.0,0
0.31,0.0,0
0.32,0.0,0
0.33,0.0,0
0.34,0.0,0
0.35000000000000003,0.0,0
0.36,0.0,0
0.37,0.0,0
0.38,0.0,0
0.39,0.0,0
0.4,0.0,0
0.41000000000000003,0.0,0
0.42,0.0,0
0.43,0.0,0
0.44,0.0,0
0.45,0.0,0
0.46,0.0,0
0.47000000000000003,0.0,0
0.48,0.0,0
0.49,0.0,0
0.5,0.0,0
0.51,0.0,0
0.52,0.0,0
0.53,0.0,0
0.54,0.0,0
0.55,0.0,0
0.56,0.0,0
0.5700000000000001,0.0,0
0.58,0.0,0
0.59,0.0,0
0.6,0.0,0
0.61,0.0,0
0.62,0.0,0
0.63,0.0,0
0.64,0.0,0
0.65,0.0,0
0.66,0.0,0
0.67,0.0,0
0.68,0.0,0
0.6900000000000001,0.0,0
0.7000000000000001,0.0,0
0.71,0.0,0
0.72,0.0,0
0.73,0.0,0
0.74,0.0,0
0.75,0.0,0
0.76,0.0,0
0.77,0.08289893966275547,0
0.78,0.09161780266507658,0
0.79,0.10751506085038566,0
0.8,0.11882291460646792,0
0.81,0.13667952325022947,0
0.8200000000000001,0.15105473773776426,0
0.8300000000000001,0.17031442251268322,0
0.84,0.19202974332513717,0
0.85,0.20390460731963259,0
0.86,0.22088781321742634,0
0.87,0.23454722188287072,0
0.88,0.2540826498182884,0
0.89,0.26979478304154936,0
0.9,0.2922659788167518,0
0.91,0.31033931833473827,0
0.92,0.32953028913726506,0
0.93,0.3499080040569076,0
0.9400000000000001,0.3790518265349804,0
0.9500000000000001,0.41891845160621616,0
0.96,0.4448238116377901,0
0.97,0.49160797907850623,0
0.98,0.5542886659055829,0
0.99,0.6504672444652985,0
1.0,0.7633344539546298,0
0.0,0.0,1
0.01,0.0,1
0.02,0.0,1
0.03,0.0,1
0.04,0.0,1
0.05,0.0,1
0.06,0.0,1
0.07,0.0,1
0.08,0.0,1
0.09,0.0,1
0.1,0.0,1
0.11,0.0,1
0.12,0.0,1
0.13,0.0,1
0.14,0.0,1
0.15,0.0,1
0.16,0.0,1
0.17,0.0,1
0.18,0.0,1
0.19,0.0,1
0.2,0.0,1
0.21,0.0,1
0.22,0.0,1
0.23,0.0,1
0.24,0.0,1
0.25,0.0,1
0.26,0.0,1
0.27,0.0,1
0.28,0.0,1
0.29,0.0,1
0.3,0.0,1
0.31,0.0,1
0.32,0.0,1
0.33,0.0,1
0.34,0.0,1
0.35000000000000003,0.0,1
0.36,0.0,1
0.37,0.0,1
0.38,0.0,1
0.39,0.0,1
0.4,0.0,1
0.41000000000000003,0.0,1
0.42,0.0,1
0.43,0.0,1
0.44,0.0,1
0.45,0.0,1
0.46,0.0,1
0.47000000000000003,0.0,1
0.48,0.0,1
0.49,0.0,1
0.5,0.0,1
0.51,0.0,1
0.52,0.0,1
0.53,0.0,1
0.54,0.07807112509434813,1
0.55,0.09161780266507658,1
0.56,0.10538604974443742,1
0.5700000000000001,0.11416364925575845,1
0.58,0.13397299803735366,1
0.59,0.14513160323182306,1
0.6,0.15721960816885347,1
0.61,0.17031442251268322,1
0.62,0.1844999033751269,1
0.63,0.19590913207918037,1
0.64,0.21222639519105924,1
0.65,0.22990272243964557,1
0.66,0.23928554959767623,1
0.67,0.2540826498182884,1
0.68,0.26979478304154936,1
0.6900000000000001,0.2864785336916676,1
0.7000000000000001,0.29817034202517106,1
0.71,0.3166087995132178,1
0.72,0.32953028913726506,1
0.73,0.3499080040569076,1
0.74,0.3790518265349804,1
0.75,0.3945217510951265,1
0.76,0.41891845160621616,1
0.77,0.4448238116377901,1
0.78,0.4818731676116051,1
0.79,0.5116715635730885,1
