Batch Id,batch_num_tokens,batch_num_prefill_tokens,batch_num_decode_tokens,batch_size,batch_num_completed_prefills,batch_execution_time,kv_free_blocks_before,kv_free_blocks_after,batch_request_ids,replica
0,512,512,0,1,0,0.021144,30172,30172,0,0
1,512,512,0,1,0,0.021484,30140,30140,0,0
2,512,512,0,1,0,0.021982,30108,30108,0,0
3,512,512,0,1,0,0.022426,30076,30076,0,0
5,512,512,0,1,0,0.022905,30044,30044,0,0
7,512,512,0,1,0,0.023417,30012,30012,0,0
9,512,512,0,1,0,0.023840,29980,29980,0,0
11,512,512,0,1,0,0.024395,29948,29948,0,0
13,512,512,0,1,0,0.024858,29916,29916,0,0
16,512,512,0,1,0,0.025252,29884,29884,0,0
18,512,512,0,1,0,0.025757,29852,29852,0,0
20,512,512,0,1,0,0.026199,29820,29820,0,0
22,512,512,0,1,0,0.026519,29788,29788,0,0
24,512,512,0,1,0,0.027041,29756,29756,0,0
27,102,102,0,1,1,0.009571,29749,29749,0,0
29,1,0,1,1,0,0.007706,29749,29749,0,0
30,1,0,1,1,0,0.007706,29749,29749,0,0
33,1,0,1,1,0,0.007706,29749,29749,0,0
34,1,0,1,1,0,0.007706,29749,29749,0,0
35,1,0,1,1,0,0.007706,29749,29749,0,0
38,1,0,1,1,0,0.007706,29749,29749,0,0
39,1,0,1,1,0,0.007706,29749,29749,0,0
40,1,0,1,1,0,0.007706,29749,29749,0,0
42,1,0,1,1,0,0.007706,29749,29749,0,0
44,1,0,1,1,0,0.007706,29749,29749,0,0
45,1,0,1,1,0,0.007706,29749,29749,0,0
47,1,0,1,1,0,0.007706,29749,29749,0,0
49,1,0,1,1,0,0.007706,29749,29749,0,0
50,1,0,1,1,0,0.007706,29749,29749,0,0
53,1,0,1,1,0,0.007706,29749,29749,0,0
55,1,0,1,1,0,0.007706,29749,29749,0,0
58,1,0,1,1,0,0.007706,29749,29749,0,0
61,1,0,1,1,0,0.007706,29749,29749,0,0
64,1,0,1,1,0,0.007706,29749,29749,0,0
67,1,0,1,1,0,0.007706,29749,29749,0,0
71,1,0,1,1,0,0.007706,29749,29749,0,0
73,1,0,1,1,0,0.007706,29749,29749,0,0
76,1,0,1,1,0,0.007706,29749,29749,0,0
80,1,0,1,1,0,0.007706,29749,29749,0,0
83,1,0,1,1,0,0.007706,29749,29749,0,0
85,1,0,1,1,0,0.007706,29749,29749,0,0
88,1,0,1,1,0,0.007812,29749,29749,0,0
92,1,0,1,1,0,0.007812,29749,29749,0,0
94,1,0,1,1,0,0.007812,29749,29749,0,0
97,1,0,1,1,0,0.007812,29749,29749,0,0
101,1,0,1,1,0,0.007812,29749,29749,0,0
103,1,0,1,1,0,0.007812,29749,29749,0,0
107,1,0,1,1,0,0.007812,29749,29749,0,0
111,1,0,1,1,0,0.007812,29749,29749,0,0
115,1,0,1,1,0,0.007812,29749,29749,0,0
119,1,0,1,1,0,0.007812,29749,29749,0,0
122,1,0,1,1,0,0.007812,29749,29749,0,0
126,1,0,1,1,0,0.007812,29749,29749,0,0
130,1,0,1,1,0,0.007812,29749,29749,0,0
133,1,0,1,1,0,0.007812,29749,29749,0,0
137,1,0,1,1,0,0.007812,29749,29749,0,0
141,1,0,1,1,0,0.007812,29749,29749,0,0
144,1,0,1,1,0,0.007812,29749,29749,0,0
147,1,0,1,1,0,0.007812,29749,29749,0,0
152,1,0,1,1,0,0.007812,29749,29749,0,0
156,1,0,1,1,0,0.007812,29749,29749,0,0
160,1,0,1,1,0,0.007812,29749,29749,0,0
165,1,0,1,1,0,0.007812,29749,29749,0,0
169,1,0,1,1,0,0.007812,29749,29749,0,0
173,1,0,1,1,0,0.007812,29749,29749,0,0
177,1,0,1,1,0,0.007812,29749,29749,0,0
182,1,0,1,1,0,0.007812,29749,29749,0,0
186,1,0,1,1,0,0.007812,29749,29749,0,0
190,1,0,1,1,0,0.007812,29749,29749,0,0
195,1,0,1,1,0,0.007812,29749,29749,0,0
199,1,0,1,1,0,0.007812,29749,29749,0,0
203,1,0,1,1,0,0.007812,29749,29749,0,0
208,1,0,1,1,0,0.007812,29749,29749,0,0
212,1,0,1,1,0,0.007812,29749,29749,0,0
216,1,0,1,1,0,0.007812,29749,29749,0,0
220,1,0,1,1,0,0.007812,29749,29749,0,0
226,1,0,1,1,0,0.007812,29749,29749,0,0
231,1,0,1,1,0,0.007812,29749,29749,0,0
236,1,0,1,1,0,0.007812,29749,29749,0,0
240,1,0,1,1,0,0.007812,29749,29749,0,0
244,1,0,1,1,0,0.007812,29749,29749,0,0
250,1,0,1,1,0,0.007812,29749,29749,0,0
254,1,0,1,1,0,0.007812,29749,29749,0,0
259,1,0,1,1,0,0.007812,29749,29749,0,0
263,1,0,1,1,0,0.007812,29749,29749,0,0
267,1,0,1,1,0,0.007812,29749,29749,0,0
272,1,0,1,1,0,0.007812,29749,29749,0,0
276,1,0,1,1,0,0.007812,29749,29749,0,0
280,1,0,1,1,0,0.007812,29744,29744,0,0
285,1,0,1,1,0,0.007812,29744,29744,0,0
289,1,0,1,1,0,0.007812,29744,29744,0,0
293,1,0,1,1,0,0.007812,29744,29744,0,0
298,1,0,1,1,0,0.007812,29744,29744,0,0
302,1,0,1,1,0,0.007812,29744,29744,0,0
306,1,0,1,1,0,0.007812,29744,29744,0,0
311,1,0,1,1,0,0.007812,29744,29744,0,0
315,1,0,1,1,0,0.007812,29744,29744,0,0
319,1,0,1,1,0,0.007812,29744,29744,0,0
324,1,0,1,1,0,0.007812,29744,29744,0,0
328,1,0,1,1,0,0.007812,29744,29744,0,0
332,1,0,1,1,0,0.007812,29744,29744,0,0
337,1,0,1,1,0,0.007812,29744,29744,0,0
341,1,0,1,1,0,0.007812,29744,29744,0,0
345,1,0,1,1,0,0.007812,29744,29744,0,0
351,1,0,1,1,0,0.007812,29744,29744,0,0
